trade_date,Strategy_Pure,Strategy_Hedged,Benchmark_EqualWeight,Benchmark_CSI1000
2024-11-19,1278075.3309980987,1278075.3309980987,1298952.0807161413,1352512.8984680688
2024-11-20,1285163.7136888886,1285163.7136888886,1324589.279522008,1379102.5512325934
2024-11-21,1285799.7888606216,1285799.7888606216,1330833.5823709117,1381609.1066438828
2024-11-22,1248375.3386936458,1248375.3386936458,1289698.7545183757,1330494.8797742531
2024-11-25,1246425.8853961807,1246425.8853961807,1305676.3796253402,1335269.4916619135
2024-11-26,1243206.4717077152,1243206.4717077152,1298542.7580946903,1319702.1962420417
2024-11-27,1257360.2137012049,1257360.2137012049,1314457.1627581997,1349948.9797606843
2024-11-28,1249734.0339021282,1249734.0339021282,1319767.8372520532,1342761.1381319198
2024-11-29,1255446.4145866267,1255446.4145866267,1336631.2747208506,1365495.315514675
2024-12-02,1269174.4188127122,1269174.4188127122,1365217.1538311944,1392959.096660463
2024-12-03,1279923.6218412854,1279923.6218412854,1369824.9591132514,1390679.5675248725
2024-12-04,1276520.921558736,1276520.921558736,1352761.1921853928,1368984.989569808
2024-12-05,1281414.4610204145,1281414.4610204145,1367685.1652154652,1386779.9665307226
2024-12-06,1300148.1937123153,1300148.1937123153,1384595.7468762882,1400904.5750538055
2024-12-09,1300664.7826578806,1300664.7826578806,1383934.060149903,1390678.685012625
2024-12-10,1305090.3337189832,1305090.3337189832,1390999.0732491834,1403640.1423933508
2024-12-11,1317381.5806766986,1317381.5806766986,1413457.8927728878,1422471.6299890897
2024-12-12,1329303.7788061826,1329303.7788061826,1432308.597147139,1431908.3334528396
2024-12-13,1306757.4528566992,1306757.4528566992,1408182.9350318306,1402088.6858620432
2024-12-16,1307447.6313207985,1307447.6313207985,1403746.2668548555,1384996.18865023
2024-12-17,1284562.1651845225,1284562.1651845225,1358517.9406506578,1355526.4571656128
2024-12-18,1300845.0818334252,1300845.0818334252,1363549.0430738444,1366982.348651907
2024-12-19,1292655.228961373,1292655.228961373,1360017.5484088557,1369479.4170565342
2024-12-20,1284590.8770729108,1284590.8770729108,1368023.0149526007,1383724.7091294783
2024-12-23,1260864.5488104115,1260864.5488104115,1318352.8242603713,1345032.7246572815
2024-12-24,1259194.5695909625,1259194.5695909625,1330071.8415322516,1360031.0203055032
2024-12-25,1249525.6592312222,1249525.6592312222,1307034.2355642007,1344658.9807204164
2024-12-26,1252414.4305312377,1252414.4305312377,1319036.1344943156,1359168.5852115212
2024-12-27,1265906.6251510829,1265906.6251510829,1332699.8627023082,1361620.424863458
2024-12-30,1263098.9564770607,1263098.9564770607,1320705.933107097,1355964.18324043
2024-12-31,1245464.1846393344,1245464.1846393344,1293907.9632097587,1314439.55508145
2025-01-02,1220286.521340484,1220286.521340484,1273331.5957399763,1279000.510753963
2025-01-03,1164132.7465192396,1164132.7465192396,1231117.5489859805,1241078.959473934
2025-01-06,1150152.2133915715,1150152.2133915715,1226529.8308721639,1237289.672510736
2025-01-07,1180564.8069010845,1180564.8069010845,1247470.7849231218,1255823.9741070904
2025-01-08,1186670.958126334,1186670.958126334,1246807.5639505177,1249147.327697757
2025-01-09,1205720.4426750608,1205720.4426750608,1248564.789009318,1251574.4570067606
2025-01-10,1173097.4093995143,1173097.4093995143,1217421.6259683212,1223364.0704994902
2025-01-13,1162687.957405479,1162687.957405479,1217282.332800475,1226575.7531966243
2025-01-14,1213121.4260108038,1213121.4260108038,1266637.3569717323,1282081.8022665114
2025-01-15,1215948.0154565466,1215948.0154565466,1264149.4399099802,1274253.0361179162
2025-01-16,1225680.7044764934,1225680.7044764934,1273895.8485621514,1279930.6786629495
2025-01-17,1221043.836248411,1221043.836248411,1275041.1175243258,1288814.7088316304
2025-01-20,1220332.3170962885,1220332.3170962885,1285814.0051985383,1297105.4701418523
2025-01-21,1208775.1595776284,1208775.1595776284,1281359.2210907575,1303475.6641732014
2025-01-22,1183643.8824513322,1183643.8824513322,1268003.4356492967,1291940.346584622
2025-01-23,1179228.8211762586,1179228.8211762586,1265682.256356471,1286048.2535634185
2025-01-24,1182293.096000483,1182293.096000483,1275373.7779167008,1310118.1132329397
2025-01-27,1179214.8595012936,1179214.8595012936,1268580.2173895587,1289806.873226012
2025-02-05,1204241.7974916734,1204241.7974916734,1274400.3176419404,1297610.0465194264
2025-02-06,1224959.3208947969,1224959.3208947969,1296478.0497230021,1332998.1257646137
2025-02-07,1228102.3673718183,1228102.3673718183,1313247.1160092535,1353344.6662614462
2025-02-10,1242648.6517287325,1242648.6517287325,1332490.1823039302,1370220.947972593
2025-02-11,1240046.017460064,1240046.017460064,1330057.5159558028,1365726.0924674263
2025-02-12,1243168.4709359875,1243168.4709359875,1341383.9664859744,1386561.5447494376
2025-02-13,1243741.6425765117,1243741.6425765117,1332933.8240935274,1370651.1726933054
2025-02-14,1232282.6205864404,1232282.6205864404,1331563.6376857497,1378668.3552067664
2025-02-17,1249278.7168131378,1249278.7168131378,1345625.281925768,1385889.7323009404
2025-02-18,1241313.1885252337,1241313.1885252337,1319231.683442411,1355128.0028858145
2025-02-19,1257626.8202015301,1257626.8202015301,1339955.9625006402,1387425.965495977
2025-02-20,1266547.5232748725,1266547.5232748725,1349147.9617193022,1397549.484116434
2025-02-21,1264734.4567507114,1264734.4567507114,1353761.2123281357,1422880.6744158596
2025-02-24,1265723.574033627,1265723.574033627,1359590.0848125594,1426145.0872197885
2025-02-25,1271980.9241299771,1271980.9241299771,1351728.0309484026,1419836.0071615868
2025-02-26,1292906.8531783323,1292906.8531783323,1370390.2420915596,1439467.050853665
2025-02-27,1301739.5138330376,1301739.5138330376,1370428.1277372339,1433978.7071857452
2025-02-28,1292686.390426102,1292686.390426102,1338124.2915858147,1383430.391294899
2025-03-03,1291827.2600509129,1291827.2600509129,1341917.0347941148,1384147.653124148
2025-03-04,1289816.6498647074,1289816.6498647074,1354461.7717665748,1402671.143945469
2025-03-05,1284702.2491014174,1284702.2491014174,1356398.7711442448,1411630.6289113215
2025-03-06,1295356.4330731386,1295356.4330731386,1374143.2818223457,1441797.9863276782
2025-03-07,1286514.1132854847,1286514.1132854847,1370029.8260326867,1435795.5792755228
2025-03-10,1297992.3677816344,1297992.3677816344,1377786.9199461592,1438709.6347171485
2025-03-11,1302276.2108732392,1302276.2108732392,1386060.544845536,1445496.3745293717
2025-03-12,1316684.2699538444,1316684.2699538444,1393401.7952133005,1448857.4224244144
2025-03-13,1310723.6695464135,1310723.6695464135,1383027.3750895665,1426768.8027507893
2025-03-14,1328157.7665266125,1328157.7665266125,1403913.3555812102,1449784.7221685965
2025-03-17,1343734.8780326103,1343734.8780326103,1411842.2133478525,1453843.1753673172
2025-03-18,1344044.0758260172,1344044.0758260172,1417756.8573729985,1458776.418831487
2025-03-19,1343901.8665747335,1343901.8665747335,1413578.2744780842,1448351.9635345931
2025-03-20,1349161.0792683694,1349161.0792683694,1414355.7957155309,1441818.0634813115
2025-03-21,1334482.774487378,1334482.774487378,1396753.2055824418,1413257.5402398
2025-03-24,1301447.9851559158,1301447.9851559158,1378440.34427502,1403269.707877414
2025-03-25,1306502.0731235133,1306502.0731235133,1376248.7027597534,1392331.6304524082
2025-03-26,1322280.1872703373,1322280.1872703373,1388150.4792125719,1397658.4743790145
2025-03-27,1315861.2381631965,1315861.2381631965,1380580.2305363726,1396303.5974508629
2025-03-28,1285605.0746765265,1285605.0746765265,1363197.9639364865,1382967.5136210243
2025-03-31,1275017.4442405798,1275017.4442405798,1346279.9484203397,1373773.5010253685
2025-04-01,1290134.785658009,1290134.785658009,1360495.2460542892,1381017.8234379806
2025-04-02,1288402.1055667135,1288402.1055667135,1362329.0135402014,1384938.1634699495
2025-04-03,1294725.267623164,1294725.267623164,1358063.502411528,1368612.5694013145
2025-04-07,1201773.6655004278,1201773.6655004278,1237764.620064467,1212669.5664548269
2025-04-08,1205168.7694058293,1196658.6912673907,1222055.5739907722,1220077.3742613096
2025-04-09,1235012.0862976382,1197211.2858370692,1245394.819865674,1247062.613140828
2025-04-10,1274653.6546277048,1197660.268924933,1276823.6506633922,1276241.7774679181
2025-04-11,1293973.353932429,1198057.4462718891,1283745.548801895,1293363.1769558403
2025-04-14,1326108.3356404863,1198523.6979400553,1308477.4259097492,1310205.4819454544
2025-04-15,1326178.8255026517,1198765.4580642895,1309016.226363316,1304800.7563129964
2025-04-16,1310467.743836269,1197798.4175673525,1293686.494195671,1287441.5197743417
2025-04-17,1335522.6894758595,1198281.937815821,1302083.5519866473,1288371.6876833283
2025-04-18,1324789.7756832652,1198471.892199148,1300486.5235856695,1286633.8004397117
2025-04-21,1339243.4617684835,1198748.1894839872,1319569.0007571809,1313318.7645269788
2025-04-22,1342398.0759847902,1198938.143867314,1324028.4298162276,1312585.1762211486
2025-04-23,1338646.3680503916,1199680.6928203194,1328147.593130051,1320366.9485925585
2025-04-24,1325799.5518668604,1199525.2755975975,1321438.6950652555,1306223.586684214
2025-04-25,1321462.8117449123,1199697.9614006218,1325846.7122989446,1310420.8149338723
2025-04-28,1293717.7413810408,1199266.2468930606,1307328.0566222763,1296643.695608288
2025-04-29,1306072.2222520993,1200164.213068788,1314912.2039627053,1302451.5087098442
2025-04-30,1326368.0312370583,1200924.0306020956,1321497.1479510884,1312762.7818109812
2025-05-06,1362322.368365083,1200785.881959676,1353006.2166615687,1346475.8528101945
2025-05-07,1384123.121315642,1201010.373503608,1363727.0768969872,1348367.297184896
2025-05-08,1410413.4536827882,1201545.699492984,1375124.1451593149,1358644.5935644996
2025-05-09,1423043.1413383828,1215473.4271437442,1365742.4149580419,1341877.964000119
2025-05-12,1435632.8263567288,1229815.6399952224,1380110.8277075505,1360714.9672974052
2025-05-13,1431932.436475593,1226857.798018503,1380193.940321211,1357085.4150510253
2025-05-14,1434991.2623927789,1226096.6960561322,1384683.2101454232,1359150.4937104452
2025-05-15,1456720.8381874312,1247127.2222021227,1375347.302201356,1336352.113561676
2025-05-16,1443308.0485894242,1233987.1718646414,1381190.928303481,1338796.893115632
2025-05-19,1473507.687003451,1263420.3929477956,1395953.633205072,1344802.388960654
2025-05-20,1497866.243220306,1285770.3919617152,1407279.148797095,1355983.8191379395
2025-05-21,1520779.8152615598,1308549.1636064467,1404553.853630067,1352931.209273438
2025-05-22,1515729.5619188151,1301918.6928172712,1389479.7105451438,1338352.5481989572
2025-05-23,1492658.0698265126,1280174.8154567827,1375137.8655895386,1321490.386683772
2025-05-26,1509983.8100808978,1295956.01346281,1385983.6847723569,1330119.3708128924
2025-05-27,1537155.418499149,1319947.914554091,1391964.4772145718,1325634.8848266352
2025-05-28,1538724.758485154,1320666.8546733647,1389985.8774080307,1320338.928828696
2025-05-29,1547700.8510614894,1331053.8134968467,1406877.2274635858,1343531.7919521497
2025-05-30,1540344.9286277986,1324043.6310986092,1391947.5074324023,1329628.2527470947
2025-06-03,1540247.4153036505,1324568.1118819208,1401431.6086156357,1339220.498994487
2025-06-04,1560465.0686781812,1342767.5189742462,1416917.635969276,1350943.5710637465
2025-06-05,1553708.9968095284,1337557.107551822,1417504.6518662407,1360616.5671817958
2025-06-06,1561037.258325373,1350663.6513802342,1420413.2692732792,1357490.2675446186
2025-06-09,1577365.2628172804,1363927.4579440327,1434685.8902885998,1372077.9743696372
2025-06-10,1576954.6464602088,1364778.5949800897,1425740.3432466465,1359442.1640082814
2025-06-11,1586164.1955942244,1372611.1751259281,1434223.9758773171,1364918.1525047342
2025-06-12,1576617.8610938021,1363372.3834953802,1434785.1207023296,1366177.4974820814
2025-06-13,1516317.2379014923,1327799.184822041,1412091.819703712,1347156.711009229
2025-06-16,1524568.4989604533,1336101.4752034904,1420567.0397864534,1356302.1854312662
2025-06-17,1518967.5264952,1331289.8792910809,1420479.148600658,1354980.1820843385
2025-06-18,1503100.84116941,1318290.875540463,1412372.4843381126,1353638.3222118397
2025-06-19,1484853.5601012057,1302026.1379997039,1389121.368531465,1334407.9390801787
2025-06-20,1468323.2654303603,1287726.127308772,1381346.7497887562,1323678.1345456103
2025-06-23,1486226.116602143,1302947.3749295159,1399676.1450343425,1341026.3396811695
2025-06-24,1513083.2254809458,1326872.5898938128,1423676.281739165,1366717.153721498
2025-06-25,1509005.112726072,1323191.641048224,1434851.1958964863,1384697.6788824736
2025-06-26,1516082.5733483257,1329004.4012457938,1432377.0903196095,1378438.0195101385
2025-06-27,1515886.3322942534,1329658.1973203013,1439489.8928997894,1384868.445002387
2025-06-30,1523027.1860949686,1336762.9823781669,1453857.2871802496,1402351.8951398937
2025-07-01,1535440.1040363482,1348185.1797582037,1460742.1614260608,1406232.080864596
2025-07-02,1536054.5234031861,1349030.2667903088,1459434.3749480904,1392049.2265331708
2025-07-03,1541526.818623996,1352687.5559072373,1466512.3565007048,1399363.9292975299
2025-07-04,1520756.6550155429,1334360.5530587747,1457185.305628945,1392647.7904651158
2025-07-07,1536421.3910626008,1347398.1390306642,1467396.1939106002,1395944.4149660827
2025-07-08,1543186.699457794,1352014.5660814445,1481608.3685171292,1413717.9910049925
2025-07-09,1542616.4366195647,1349805.1638273986,1481022.942765565,1409916.1282422661
2025-07-10,1545169.4399247896,1350936.1381363848,1488189.590208363,1413468.6812950415
2025-07-11,1551359.6876340848,1355164.9274622635,1492594.6282790003,1425499.9707667807
2025-07-14,1564320.5851363135,1363956.6654342301,1499193.331074311,1425765.8275813744
2025-07-15,1550424.981135072,1352670.7275756334,1483964.7355211382,1421469.978588045
2025-07-16,1570225.8469864763,1370567.0414516246,1491774.669468651,1425712.4355903938
2025-07-17,1575479.2248856637,1374084.4705420025,1501662.2869925916,1441952.4259710102
2025-07-18,1572224.3694304798,1370948.9644080002,1505192.44370932,1445571.3880704185
2025-07-21,1578716.2041865399,1376810.1854971754,1526402.0765205908,1458849.8879761
2025-07-22,1569142.6241382742,1367711.8433434544,1534024.7872566879,1464331.3921741005
2025-07-23,1554362.3591905378,1354522.3662407016,1523777.7647441225,1457738.1431721668
