date,code,action,price,shares,info
2020-02-11,603726.SH,SELL,18.463,5200,STOP_LOSS (-3.2%)
2020-02-11,002326.SZ,SELL,17.479930080000003,5200,STOP_LOSS (-8.3%)
2020-02-11,002219.SZ,SELL,2.8519885920000005,32400,STOP_LOSS (-8.3%)
2020-02-12,600595.SH,BUY,1.8937799999999998,51400,SIGNAL
2020-02-12,603959.SH,BUY,9.018,10800,SIGNAL
2020-02-12,603179.SH,BUY,21.042,4600,SIGNAL
2020-02-13,603179.SH,SELL,23.3033,4600,TRAILING_STOP (10.7%)
2020-02-14,603179.SH,BUY,22.70532,4300,SIGNAL
2020-02-14,603959.SH,SELL,10.15964,10800,TRAILING_STOP (12.6%)
2020-02-17,600388.SH,SELL,10.119720000000001,9300,SIGNAL_LOST (-6.1%)
2020-02-17,603959.SH,BUY,9.99996,9900,SIGNAL
2020-02-17,603179.SH,SELL,22.0558,4300,TRAILING_STOP (-2.9%)
2020-02-18,000687.SZ,SELL,5.089799999999999,19000,SIGNAL_LOST (0.9%)
2020-02-18,000410.SZ,SELL,5.7285200000000005,16300,SIGNAL_LOST (-2.7%)
2020-02-18,002259.SZ,SELL,2.02594,50600,SIGNAL_LOST (6.9%)
2020-02-18,600816.SH,SELL,3.15368,31100,SIGNAL_LOST (2.4%)
2020-02-18,603333.SH,SELL,7.425120000000001,13100,SIGNAL_LOST (1.6%)
2020-02-18,600577.SH,SELL,2.67464,35800,SIGNAL_LOST (-0.1%)
2020-02-18,600595.SH,SELL,2.0059799999999997,51400,SIGNAL_LOST (5.8%)
2020-02-18,002297.SZ,BUY,6.0019800000000005,16800,SIGNAL
2020-02-18,002159.SZ,BUY,11.623199999999999,8700,SIGNAL
2020-02-18,600760.SH,BUY,29.8596,3300,SIGNAL
2020-02-18,002870.SZ,BUY,22.044,4500,SIGNAL
2020-02-19,002471.SZ,BUY,2.4949800000000004,40400,SIGNAL
2020-02-19,600316.SH,BUY,13.93782,7200,SIGNAL
2020-02-19,002889.SZ,BUY,25.7013,3900,SIGNAL
2020-02-20,002870.SZ,SELL,22.6546,4500,TRAILING_STOP (2.7%)
2020-02-20,002471.SZ,SELL,2.2907908368000007,40400,STOP_LOSS (-8.3%)
2020-02-21,600651.SH,BUY,4.07814,24900,SIGNAL
2020-02-21,002471.SZ,BUY,2.2645199999999996,44800,SIGNAL
2020-02-21,002870.SZ,BUY,23.86764,4200,SIGNAL
2020-02-24,603959.SH,SELL,10.778400000000001,9900,SIGNAL_LOST (7.7%)
2020-02-25,002297.SZ,SELL,6.137700000000001,16800,SIGNAL_LOST (2.2%)
2020-02-25,002159.SZ,SELL,10.78838,8700,SIGNAL_LOST (-7.3%)
2020-02-25,600760.SH,SELL,29.1416,3300,SIGNAL_LOST (-2.5%)
2020-02-25,600316.SH,SELL,13.6227,7200,SIGNAL_LOST (-2.3%)
2020-02-25,002889.SZ,SELL,26.90608,3900,SIGNAL_LOST (4.6%)
2020-02-25,600661.SH,BUY,20.65122,4800,SIGNAL
