date,assets,market,positions,max_assets,dd
2022-04-06,570902.2827160087,BULL,11,1030554.0263425,0.4460239171136168
2022-04-07,568966.3656537387,BULL,9,1030554.0263425,0.4479024378051915
2022-04-08,578694.7193410229,BULL,6,1030554.0263425,0.4384625118637921
2022-04-11,568799.570867223,BULL,10,1030554.0263425,0.4480642874338885
2022-04-12,566786.955190223,BULL,9,1030554.0263425,0.4500172327677134
2022-04-13,563461.929201023,BULL,7,1030554.0263425,0.45324367786831693
2022-04-14,564551.682861623,BULL,11,1030554.0263425,0.4521862333940396
2022-04-15,561359.332250423,BULL,7,1030554.0263425,0.45528393669692213
2022-04-18,563678.7613772812,BULL,7,1030554.0263425,0.4530332743662048
2022-04-19,562825.4895190812,BULL,10,1030554.0263425,0.4538612482874055
2022-04-20,557759.4895190812,BULL,10,1030554.0263425,0.4587770507300776
2022-04-21,547100.2413590812,BULL,4,1030554.0263425,0.469120271839824
2022-04-22,544095.2030182813,BULL,8,1030554.0263425,0.4720362163356842
2022-04-25,529502.2934605354,BULL,4,1030554.0263425,0.4861964730371568
2022-04-26,518041.03979438473,BULL,7,1030554.0263425,0.4973179216688479
2022-04-27,524635.1131324656,BULL,7,1030554.0263425,0.49091935044450985
2022-04-28,518917.1448298657,BULL,9,1030554.0263425,0.49646779153196385
2022-04-29,533516.1882378657,BULL,10,1030554.0263425,0.4823015828375853
2022-05-05,537753.5544023457,BULL,9,1030554.0263425,0.4781898467653692
2022-05-06,532177.3898503457,BULL,8,1030554.0263425,0.4836006883219154
2022-05-09,542273.3054247457,BULL,8,1030554.0263425,0.4738040980254988
2022-05-10,540918.8367445457,BULL,11,1030554.0263425,0.47511840920722986
2022-05-11,533128.9977467457,BULL,10,1030554.0263425,0.4826772938446968
2022-05-12,534962.9691465795,BULL,9,1030554.0263425,0.4808976963146744
2022-05-13,541047.4663225795,BULL,10,1030554.0263425,0.47499359325896723
2022-05-16,545144.7709369796,BULL,9,1030554.0263425,0.4710177661701715
