threshold,max_pos,stop_loss,take_profit,cagr_opt,sharpe_opt,max_dd_opt,total_return_opt,n_trades_opt,win_rate_days_opt,monthly_win_rate_opt,n_months_opt,avg_trade_return_opt,trade_win_rate_opt,cagr_test,sharpe_test,max_dd_test,total_return_test,n_trades_test,win_rate_days_test,monthly_win_rate_test,n_months_test,avg_trade_return_test,trade_win_rate_test
0.5,2,-0.05,0.15,-0.9863618944104913,-6.299117176699239,-0.9999957700027222,-0.99999577024478,1161,0.256198347107438,0.05555555555555555,36,-0.020106928917626655,0.3186907838070629,-0.9725385694465368,-4.100226540242455,-0.9833395856005454,-0.9828497585994261,470,0.28421052631578947,0.06666666666666667,15,-0.015720064749594764,0.32553191489361705
0.5,2,-0.07,0.0,-0.9876111852404879,-7.713924443954298,-0.9999967927383042,-0.9999967929218369,1161,0.27823691460055094,0.05555555555555555,36,-0.020847270020230124,0.34194659776055125,-0.9844920785790111,-6.876478556592534,-0.9905385968742121,-0.9910132579447937,470,0.3017543859649123,0.06666666666666667,15,-0.01906501868239106,0.3468085106382979
0.5,2,-0.07,0.05,-0.8888765705723911,-2.633818516275927,-0.998400680635559,-0.9982175741384128,1161,0.33608815426997246,0.2777777777777778,36,-0.009546816295297784,0.3832902670111972,-0.7204860594267493,-1.0764801010213911,-0.8139073361931035,-0.7634577684738024,470,0.37894736842105264,0.3333333333333333,15,-0.004432294344868821,0.4021276595744681
0.5,2,-0.07,0.08,-0.9373867616119096,-3.4704724210736835,-0.9996668231023342,-0.9996586086392154,1161,0.3140495867768595,0.19444444444444445,36,-0.012403235723085016,0.35400516795865633,-0.8507439009898543,-1.866231053234503,-0.9089893106256691,-0.8836526418131913,470,0.3473684210526316,0.2,15,-0.007509072047696968,0.3659574468085106
0.5,2,-0.07,0.1,-0.958796035302693,-4.2095635323340606,-0.9998978593050017,-0.9998977401308351,1161,0.3002754820936639,0.1388888888888889,36,-0.014538685049409146,0.3453919035314384,-0.8931261913948592,-2.2790582228728273,-0.9367207653574596,-0.9202556965125984,470,0.3333333333333333,0.2,15,-0.009121179016952008,0.3574468085106383
0.5,2,-0.07,0.15,-0.9754826059387943,-5.359688611012392,-0.9999770819836904,-0.9999770832951533,1161,0.28512396694214875,0.05555555555555555,36,-0.017231384927682444,0.34280792420327305,-0.9457324584886349,-3.2764380268944984,-0.9670904630758639,-0.9629468472841735,470,0.312280701754386,0.06666666666666667,15,-0.012497375153725556,0.35106382978723405
0.5,2,-0.1,0.0,-0.9764077146535929,-6.658151668022326,-0.9999795439287784,-0.9999794870608064,1161,0.2988980716253444,0.05555555555555555,36,-0.01772334128125251,0.35831180017226527,-0.9641634257717239,-5.434138642256966,-0.9756013740540909,-0.9768254079271049,470,0.32280701754385965,0.13333333333333333,15,-0.015092421425586627,0.3638297872340426
0.5,2,-0.1,0.05,-0.7846094299394537,-1.78177230723661,-0.9902462222099147,-0.9880034095561424,1161,0.359504132231405,0.3611111111111111,36,-0.006335652286360648,0.4005167958656331,-0.3697772480541881,-0.1445296649740514,-0.6764032645623428,-0.40675054233892116,470,0.4070175438596491,0.4666666666666667,15,-0.0005859839789360455,0.41914893617021276
0.5,2,-0.1,0.08,-0.8800567528874182,-2.6317453683235876,-0.9979385065007267,-0.9977788742674242,1161,0.3319559228650138,0.25,36,-0.009249552070631559,0.37037037037037035,-0.646107536493,-0.8541388992959311,-0.7545496502888579,-0.6911163372973981,470,0.3649122807017544,0.4,15,-0.0034074425328280227,0.3829787234042553
0.5,2,-0.1,0.1,-0.9215417529305396,-3.357504034494573,-0.9993656522023545,-0.9993461073659347,1161,0.3209366391184573,0.2222222222222222,36,-0.01141475631043153,0.36175710594315247,-0.7478495479915087,-1.2810711433008053,-0.8302928818216367,-0.7894740330303563,470,0.3543859649122807,0.26666666666666666,15,-0.005062102693572423,0.37446808510638296
