trade_date,Strategy_Pure,Strategy_Hedged,Benchmark_EqualWeight,Benchmark_CSI1000
2024-10-15,1161994.9589979402,1161994.9589979402,1146449.5723242508,1215037.5674432407
2024-10-16,1167139.433148895,1167139.433148895,1154310.6488672625,1218805.674112496
2024-10-17,1161799.9458734342,1161799.9458734342,1143801.419714733,1214693.1670386086
2024-10-18,1189644.997575229,1189644.997575229,1170914.1883248838,1268486.4804639365
2024-10-21,1191183.280587027,1191183.280587027,1182856.592453714,1293006.4213797415
2024-10-22,1201909.0975298278,1201909.0975298278,1201992.2260712038,1299237.8403601528
2024-10-23,1211488.2783112482,1211488.2783112482,1209694.8604076726,1302494.972438039
2024-10-24,1204480.988944581,1204480.988944581,1210223.573682308,1293240.507753421
2024-10-25,1202095.093901467,1202095.093901467,1235646.3363754298,1318232.5927217002
2024-10-28,1213815.5541209138,1213815.5541209138,1270179.624284939,1341879.28776849
2024-10-29,1209030.0157682681,1209030.0157682681,1249752.8286989378,1320202.139430316
2024-10-30,1205236.2189789633,1205236.2189789633,1256443.054312205,1328036.8625365824
2024-10-31,1204756.7288199922,1204756.7288199922,1274781.6385216857,1349507.5030088145
2024-11-01,1196139.6761555753,1196139.6761555753,1247334.6378134976,1308375.5928000233
2024-11-04,1219769.518941796,1219769.518941796,1268035.0062383218,1335486.3690467651
2024-11-05,1250388.6004022001,1250388.6004022001,1299183.2917195205,1382575.0162988976
2024-11-06,1249361.0889296446,1249361.0889296446,1308573.9398129252,1388454.9747766964
2024-11-07,1276854.7290397123,1276854.7290397123,1341635.3027958588,1412884.016930997
2024-11-08,1270938.8238053333,1270938.8238053333,1339659.760206723,1417120.9582317981
2024-11-11,1277603.404824729,1277603.404824729,1358068.3049612811,1451513.1224055516
2024-11-12,1265689.8444102057,1265689.8444102057,1349356.86263533,1432311.2002938762
2024-11-13,1276102.2961897913,1276102.2961897913,1348929.837448785,1428433.000221731
2024-11-14,1251095.8842062147,1251095.8842062147,1315741.5632194628,1383821.3442205924
2024-11-15,1241580.4842960406,1241580.4842960406,1292936.1441716726,1351460.061356664
2024-11-18,1240519.2128196063,1240519.2128196063,1274996.1416144124,1318155.1522719723
2024-11-19,1240337.9073928262,1240337.9073928262,1298952.0807161413,1352512.8984680688
2024-11-20,1245866.6650747703,1245866.6650747703,1324589.279522008,1379102.5512325934
2024-11-21,1244342.0141595746,1244342.0141595746,1330833.5823709117,1381609.1066438828
2024-11-22,1207173.391411116,1207173.391411116,1289698.7545183757,1330494.8797742531
2024-11-25,1200056.7867613311,1200056.7867613311,1305676.3796253402,1335269.4916619135
2024-11-26,1193759.442336926,1193759.442336926,1298542.7580946903,1319702.1962420417
2024-11-27,1210595.6951100307,1210595.6951100307,1314457.1627581997,1349948.9797606843
2024-11-28,1202603.4474103816,1202603.4474103816,1319767.8372520532,1342761.1381319198
2024-11-29,1211308.3877021712,1211308.3877021712,1336631.2747208506,1365495.315514675
2024-12-02,1228408.4642112122,1228408.4642112122,1365217.1538311944,1392959.096660463
2024-12-03,1231657.8665460737,1231657.8665460737,1369824.9591132514,1390679.5675248725
2024-12-04,1224416.914898704,1224416.914898704,1352761.1921853928,1368984.989569808
2024-12-05,1229001.3400091548,1229001.3400091548,1367685.1652154652,1386779.9665307226
2024-12-06,1240884.9696088918,1240884.9696088918,1384595.7468762882,1400904.5750538055
2024-12-09,1236691.2404171715,1236691.2404171715,1383934.060149903,1390678.685012625
2024-12-10,1243846.3304354243,1243846.3304354243,1390999.0732491834,1403640.1423933508
2024-12-11,1255188.521453321,1255188.521453321,1413457.8927728878,1422471.6299890897
2024-12-12,1266187.121712492,1266187.121712492,1432308.597147139,1431908.3334528396
2024-12-13,1244882.3426714027,1244882.3426714027,1408182.9350318306,1402088.6858620432
2024-12-16,1245712.25692123,1245712.25692123,1403746.2668548555,1384996.18865023
2024-12-17,1228028.2585973376,1228028.2585973376,1358517.9406506578,1355526.4571656128
2024-12-18,1239802.8537553966,1239802.8537553966,1363549.0430738444,1366982.348651907
2024-12-19,1232262.823836194,1232262.823836194,1360017.5484088557,1369479.4170565342
2024-12-20,1225483.905233122,1225483.905233122,1368023.0149526007,1383724.7091294783
2024-12-23,1206935.977527698,1206935.977527698,1318352.8242603713,1345032.7246572815
2024-12-24,1207909.7864415057,1207909.7864415057,1330071.8415322516,1360031.0203055032
2024-12-25,1204858.4917116773,1204858.4917116773,1307034.2355642007,1344658.9807204164
2024-12-26,1207867.6271164012,1207867.6271164012,1319036.1344943156,1359168.5852115212
2024-12-27,1218655.516987786,1218655.516987786,1332699.8627023082,1361620.424863458
2024-12-30,1215919.1069702911,1215919.1069702911,1320705.933107097,1355964.18324043
2024-12-31,1202270.1505435074,1202270.1505435074,1293907.9632097587,1314439.55508145
2025-01-02,1178169.017778002,1178169.017778002,1273331.5957399763,1279000.510753963
2025-01-03,1124544.0523597605,1124544.0523597605,1231117.5489859805,1241078.959473934
2025-01-06,1109099.295621971,1109099.295621971,1226529.8308721639,1237289.672510736
2025-01-07,1140551.8130266408,1140551.8130266408,1247470.7849231218,1255823.9741070904
2025-01-08,1147765.2146925763,1147765.2146925763,1246807.5639505177,1249147.327697757
2025-01-09,1165808.1361851767,1165808.1361851767,1248564.789009318,1251574.4570067606
2025-01-10,1136435.7421699774,1136435.7421699774,1217421.6259683212,1223364.0704994902
2025-01-13,1124931.3787044245,1124931.3787044245,1217282.332800475,1226575.7531966243
2025-01-14,1177219.382943676,1177219.382943676,1266637.3569717323,1282081.8022665114
2025-01-15,1184647.3659894054,1184647.3659894054,1264149.4399099802,1274253.0361179162
2025-01-16,1195574.8699189865,1195574.8699189865,1273895.8485621514,1279930.6786629495
2025-01-17,1188128.8932119734,1188128.8932119734,1275041.1175243258,1288814.7088316304
2025-01-20,1181318.4260379125,1181318.4260379125,1285814.0051985383,1297105.4701418523
2025-01-21,1164861.5899786227,1164861.5899786227,1281359.2210907575,1303475.6641732014
2025-01-22,1142279.9150536342,1142279.9150536342,1268003.4356492967,1291940.346584622
2025-01-23,1138565.6451635011,1138565.6451635011,1265682.256356471,1286048.2535634185
2025-01-24,1141912.1540662635,1141912.1540662635,1275373.7779167008,1310118.1132329397
2025-01-27,1133740.3009845184,1133740.3009845184,1268580.2173895587,1289806.873226012
2025-02-05,1158082.5369236567,1158082.5369236567,1274400.3176419404,1297610.0465194264
2025-02-06,1178814.8020039867,1178814.8020039867,1296478.0497230021,1332998.1257646137
2025-02-07,1186383.0808958698,1186383.0808958698,1313247.1160092535,1353344.6662614462
2025-02-10,1198623.0591542793,1198623.0591542793,1332490.1823039302,1370220.947972593
2025-02-11,1194206.4011459786,1194206.4011459786,1330057.5159558028,1365726.0924674263
2025-02-12,1198781.6494130092,1198781.6494130092,1341383.9664859744,1386561.5447494376
2025-02-13,1197622.7683128864,1197622.7683128864,1332933.8240935274,1370651.1726933054
2025-02-14,1188138.8440430262,1188138.8440430262,1331563.6376857497,1378668.3552067664
2025-02-17,1203575.0874377082,1203575.0874377082,1345625.281925768,1385889.7323009404
2025-02-18,1198554.8640951836,1198554.8640951836,1319231.683442411,1355128.0028858145
2025-02-19,1214809.6871897262,1214809.6871897262,1339955.9625006402,1387425.965495977
2025-02-20,1221937.3070467701,1221937.3070467701,1349147.9617193022,1397549.484116434
2025-02-21,1225478.0620036304,1225478.0620036304,1353761.2123281357,1422880.6744158596
2025-02-24,1226981.620824376,1226981.620824376,1359590.0848125594,1426145.0872197885
2025-02-25,1231739.709056687,1231739.709056687,1351728.0309484026,1419836.0071615868
2025-02-26,1252377.0153187178,1252377.0153187178,1370390.2420915596,1439467.050853665
2025-02-27,1256458.512022913,1256458.512022913,1370428.1277372339,1433978.7071857452
2025-02-28,1249478.7422912607,1249478.7422912607,1338124.2915858147,1383430.391294899
2025-03-03,1245444.9335319055,1245444.9335319055,1341917.0347941148,1384147.653124148
2025-03-04,1243073.8285498836,1243073.8285498836,1354461.7717665748,1402671.143945469
2025-03-05,1238544.6592290727,1238544.6592290727,1356398.7711442448,1411630.6289113215
2025-03-06,1249731.7631556762,1249731.7631556762,1374143.2818223457,1441797.9863276782
2025-03-07,1240721.017712735,1240721.017712735,1370029.8260326867,1435795.5792755228
2025-03-10,1251547.4935987878,1251547.4935987878,1377786.9199461592,1438709.6347171485
