date,pcr_50,oi_pcr_50,vol_50,pcr_300,oi_pcr_300,vol_300
2023-05-23,0.9516,0.6949744120885252,2325638.0,0.9246,0.8406968827365654,1365238.0
2023-05-24,0.9964,0.74656535751582,3057882.0,1.1227,0.9278630141342195,1892823.0
2023-05-25,1.0415,0.6647349656962036,2575714.0,0.9982,0.8714975561580062,1578546.0
2023-05-26,0.9934999999999999,0.650000293043728,2188379.0,1.0891,0.8872119211767086,1296425.0
2023-05-29,0.9274,0.6420134711353822,1513866.0,0.9992,0.8778251428723673,935425.0
2023-05-30,0.9101,0.6169805662579126,2556316.0,0.9802,0.8719464911393455,1466793.0
2023-05-31,0.9818000000000001,0.5784511437222725,2343366.0,1.0155,0.8559176651320775,1352952.0
2023-06-01,0.872,0.589062929730725,2146813.0,0.9045000000000001,0.8535927461278837,1235607.0
2023-06-02,0.8225,0.6391767947125399,2133220.0,0.7974,0.8967523440168489,1160613.0
2023-06-05,0.8279000000000001,0.6168223130010257,1197959.0,0.877,0.8617582672219817,723001.0
2023-06-06,0.8443,0.6208973543862746,2261085.0,0.8603000000000001,0.8203126818391296,1307104.0
2023-06-07,0.9181,0.6145092435716059,1874802.0,1.0723,0.8009672132452711,1140824.0
2023-06-08,0.865,0.6428351326174195,2126911.0,0.8563,0.831809327323084,1324649.0
2023-06-09,0.8343,0.6560564667335846,1374053.0,0.8519,0.8407765018856991,893323.0
2023-06-12,0.9390999999999999,0.6609148152882826,1764583.0,0.8919,0.8612834695798195,1020968.0
2023-06-13,0.8861,0.6752792471040769,1542485.0,0.9073,0.8824233009526755,928943.0
2023-06-14,0.8645,0.6877424259236088,2125081.0,0.8675,0.8659864658809371,1181565.0
2023-06-15,0.9523999999999999,0.7651038248864336,2631167.0,0.81,0.9500231885338222,1554180.0
2023-06-16,0.8184,0.8340353550600672,2682040.0,0.763,1.0323414962251558,1649623.0
2023-06-19,0.8356999999999999,0.7344433195662398,1983154.0,0.8547,0.9576760985870636,998863.0
2023-06-20,0.8164,0.698644973419361,1796120.0,0.8841,0.9508423724901915,936090.0
2023-06-21,0.8841,0.658382501758826,2121855.0,0.965,0.8864304059535448,1237076.0
2023-06-26,0.9576,0.5908688185495545,2457448.0,1.0515999999999999,0.809490485618703,1628845.0
2023-06-27,0.9176000000000001,0.6160803189175782,1995008.0,0.9129,0.8477971229119677,1297171.0
2023-06-28,0.9218000000000001,0.7018088832753098,1977006.0,1.0007,0.9008420622693846,1213248.0
2023-06-29,0.9269,0.6595404542015998,1466406.0,0.8663,0.8795914140108635,863313.0
2023-06-30,0.8748,0.6817124277391515,1337030.0,0.8402,0.9302823745534501,1053253.0
2023-07-03,0.8499,0.7940649452049409,1662267.0,0.7972,0.9529091632461603,1151504.0
2023-07-04,0.7753,0.7814998292228151,949654.0,0.8062,0.9619609858728703,682069.0
2023-07-05,0.9649,0.7445940815340868,1074983.0,0.8125,0.9132621154491047,797180.0
2023-07-06,0.9460999999999999,0.68657307204527,1493558.0,0.9709,0.8793035548318819,1076514.0
2023-07-07,1.0019,0.6333197069134826,1342263.0,1.0676,0.839339189593503,984966.0
2023-07-10,0.7844,0.6621758128084979,1505759.0,0.8781,0.8590021662949131,984361.0
2023-07-11,0.8395999999999999,0.7095224821814999,1330711.0,0.8762000000000001,0.8935816383002505,1014065.0
2023-07-12,0.8237000000000001,0.7540634800579106,1499224.0,0.8081,0.8798863220377011,993586.0
2023-07-13,0.8693000000000001,0.8957222754411547,2212213.0,0.8295999999999999,0.9486240367435079,1338926.0
2023-07-14,0.8462000000000001,0.9194694987896479,1190882.0,0.8217,0.9606436307875724,859171.0
2023-07-17,0.9584,0.7898406220172797,1459462.0,0.8896999999999999,0.9037175063867893,832476.0
2023-07-18,0.9027,0.7682600830789811,1322170.0,0.8789,0.8853113734360641,812653.0
2023-07-19,0.9173,0.7919142345205615,1543987.0,0.9386,0.8684240651770232,1070903.0
2023-07-20,0.8798,0.7701515531510874,2255101.0,0.8371,0.8489722977365921,1416035.0
2023-07-21,0.9007,0.7714558498514964,2337898.0,0.8656999999999999,0.8366863837494555,1380528.0
2023-07-24,0.8478,0.7328083295017163,1746012.0,0.8698999999999999,0.8204472156525479,1264339.0
2023-07-25,0.7055,1.0268178560733956,3728664.0,0.6661,1.00123482680512,2153261.0
2023-07-26,0.6707,0.9656915928553573,1785891.0,0.7321,0.9021324375867125,943876.0
2023-07-27,0.8589,0.9731395626260965,1737648.0,0.9248999999999999,0.9074581846082975,1180192.0
2023-07-28,0.8835,1.1902522425297224,3438993.0,0.8279000000000001,0.9577944404407598,2103066.0
2023-07-31,0.7719,1.1326489656669412,3037491.0,0.6761,0.9306538955223317,1880733.0
