ts_code,symbol,name,industry
000501.SZ,000501,武商集团,百货
000503.SZ,000503,国新健康,软件服务
000504.SZ,000504,*ST生物,医疗保健
000505.SZ,000505,京粮控股,食品
000506.SZ,000506,招金黄金,黄金
000507.SZ,000507,珠海港,新型电力
000509.SZ,000509,华塑控股,元器件
000510.SZ,000510,新金路,化工原料
000513.SZ,000513,丽珠集团,化学制药
000514.SZ,000514,渝开发,区域地产
000516.SZ,000516,国际医学,医疗保健
000517.SZ,000517,荣安地产,区域地产
000518.SZ,000518,*ST四环,生物制药
000519.SZ,000519,中兵红箭,专用机械
000520.SZ,000520,凤凰航运,水运
000521.SZ,000521,长虹美菱,家用电器
000523.SZ,000523,红棉股份,食品
000524.SZ,000524,岭南控股,旅游服务
000525.SZ,000525,红太阳,农药化肥
000526.SZ,000526,学大教育,文教休闲
000528.SZ,000528,柳工,工程机械
000529.SZ,000529,广弘控股,食品
000530.SZ,000530,冰山冷热,机械基件
000531.SZ,000531,穗恒运Ａ,火力发电
000532.SZ,000532,华金资本,多元金融
000533.SZ,000533,顺钠股份,电气设备
000534.SZ,000534,万泽股份,生物制药
000536.SZ,000536,华映科技,元器件
000537.SZ,000537,绿发电力,新型电力
000538.SZ,000538,云南白药,中成药
000539.SZ,000539,粤电力Ａ,火力发电
000541.SZ,000541,佛山照明,家用电器
000543.SZ,000543,皖能电力,火力发电
000544.SZ,000544,中原环保,环境保护
000545.SZ,000545,金浦钛业,化工原料
000546.SZ,000546,金圆股份,环境保护
000547.SZ,000547,航天发展,通信设备
000548.SZ,000548,湖南投资,路桥
000550.SZ,000550,江铃汽车,汽车整车
000551.SZ,000551,创元科技,专用机械
000552.SZ,000552,甘肃能化,煤炭开采
000553.SZ,000553,安道麦A,农药化肥
000554.SZ,000554,泰山石油,石油贸易
000555.SZ,000555,神州信息,软件服务
000557.SZ,000557,西部创业,铁路
000558.SZ,000558,天府文旅,旅游景点
000559.SZ,000559,万向钱潮,汽车配件
000560.SZ,000560,我爱我家,房产服务
000561.SZ,000561,烽火电子,通信设备
000563.SZ,000563,陕国投Ａ,多元金融
000564.SZ,000564,供销大集,百货
000565.SZ,000565,渝三峡Ａ,染料涂料
000566.SZ,000566,海南海药,化学制药
000567.SZ,000567,海德股份,多元金融
000568.SZ,000568,泸州老窖,白酒
000570.SZ,000570,苏常柴Ａ,农用机械
000571.SZ,000571,新大洲A,煤炭开采
000572.SZ,000572,海马汽车,汽车整车
000573.SZ,000573,粤宏远Ａ,区域地产
000576.SZ,000576,甘化科工,电气设备
000581.SZ,000581,威孚高科,汽车配件
000582.SZ,000582,北部湾港,港口
000586.SZ,000586,汇源通信,通信设备
000589.SZ,000589,贵州轮胎,汽车配件
000590.SZ,000590,古汉医药,中成药
000591.SZ,000591,太阳能,新型电力
000592.SZ,000592,平潭发展,林业
000593.SZ,000593,德龙汇能,供气供热
000595.SZ,000595,*ST宝实,新型电力
000596.SZ,000596,古井贡酒,白酒
000597.SZ,000597,东北制药,化学制药
000598.SZ,000598,兴蓉环境,水务
000599.SZ,000599,青岛双星,汽车配件
000600.SZ,000600,建投能源,火力发电
000601.SZ,000601,韶能股份,水力发电
000603.SZ,000603,盛达资源,铅锌
000605.SZ,000605,渤海股份,水务
000607.SZ,000607,华媒控股,广告包装
000608.SZ,000608,*ST阳光,区域地产
000609.SZ,000609,*ST中迪,区域地产
000610.SZ,000610,*ST西旅,旅游服务
000612.SZ,000612,焦作万方,铝
000615.SZ,000615,*ST美谷,医疗保健
000617.SZ,000617,中油资本,多元金融
000619.SZ,000619,海螺新材,其他建材
000620.SZ,000620,盈新发展,全国地产
000623.SZ,000623,吉林敖东,中成药
000625.SZ,000625,长安汽车,汽车整车
000626.SZ,000626,远大控股,商贸代理
000628.SZ,000628,高新发展,建筑工程
000629.SZ,000629,钒钛股份,小金属
000630.SZ,000630,铜陵有色,铜
000631.SZ,000631,顺发恒能,综合类
000632.SZ,000632,ST三木,综合类
000633.SZ,000633,合金投资,小金属
000635.SZ,000635,英力特,化工原料
000636.SZ,000636,风华高科,元器件
000637.SZ,000637,茂化实华,石油加工
000638.SZ,000638,*ST万方,农业综合
000639.SZ,000639,ST西王,食品
000650.SZ,000650,仁和药业,中成药
000651.SZ,000651,格力电器,家用电器
000652.SZ,000652,泰达股份,批发业
000655.SZ,000655,金岭矿业,普钢
000656.SZ,000656,*ST金科,全国地产
000657.SZ,000657,中钨高新,小金属
000659.SZ,000659,珠海中富,广告包装
000661.SZ,000661,长春高新,生物制药
000663.SZ,000663,永安林业,林业
000665.SZ,000665,湖北广电,影视音像
000668.SZ,000668,*ST荣控,房产服务
000669.SZ,000669,ST金鸿,供气供热
000670.SZ,000670,盈方微,元器件
000672.SZ,000672,上峰水泥,水泥
000676.SZ,000676,智度股份,互联网
000677.SZ,000677,ST海龙,化纤
000678.SZ,000678,襄阳轴承,汽车配件
000679.SZ,000679,大连友谊,百货
000680.SZ,000680,山推股份,工程机械
000681.SZ,000681,视觉中国,互联网
000682.SZ,000682,东方电子,电气设备
000683.SZ,000683,博源化工,化工原料
000685.SZ,000685,中山公用,水务
000686.SZ,000686,东北证券,证券
000688.SZ,000688,国城矿业,铅锌
000690.SZ,000690,宝新能源,火力发电
000691.SZ,000691,*ST亚太,化工原料
000692.SZ,000692,惠天热电,供气供热
000695.SZ,000695,滨海能源,化工原料
001696.SZ,001696,宗申动力,摩托车
000697.SZ,000697,炼石航空,航空
000698.SZ,000698,ST沈化,石油加工
000700.SZ,000700,模塑科技,汽车配件
000701.SZ,000701,厦门信达,商贸代理
000702.SZ,000702,正虹科技,饲料
000703.SZ,000703,恒逸石化,化纤
000705.SZ,000705,浙江震元,医药商业
000707.SZ,000707,双环科技,化工原料
000708.SZ,000708,中信特钢,特种钢
000709.SZ,000709,河钢股份,普钢
000710.SZ,000710,贝瑞基因,医疗保健
000711.SZ,000711,ST京蓝,环境保护
000712.SZ,000712,锦龙股份,证券
000713.SZ,000713,国投丰乐,种植业
000715.SZ,000715,中兴商业,百货
000716.SZ,000716,黑芝麻,食品
000717.SZ,000717,中南股份,普钢
000718.SZ,000718,苏宁环球,区域地产
000719.SZ,000719,中原传媒,出版业
000720.SZ,000720,新能泰山,电气设备
000721.SZ,000721,西安饮食,酒店餐饮
000722.SZ,000722,湖南发展,水力发电
000723.SZ,000723,美锦能源,焦炭加工
000725.SZ,000725,京东方Ａ,元器件
000726.SZ,000726,鲁泰Ａ,纺织
000727.SZ,000727,冠捷科技,元器件
000728.SZ,000728,国元证券,证券
000729.SZ,000729,燕京啤酒,啤酒
000731.SZ,000731,四川美丰,农药化肥
000733.SZ,000733,振华科技,元器件
000735.SZ,000735,罗牛山,农业综合
000736.SZ,000736,*ST中地,全国地产
000737.SZ,000737,北方铜业,铜
000738.SZ,000738,航发控制,航空
000739.SZ,000739,普洛药业,化学制药
000750.SZ,000750,国海证券,证券
000751.SZ,000751,锌业股份,铅锌
000752.SZ,000752,*ST西发,啤酒
000753.SZ,000753,漳州发展,综合类
000755.SZ,000755,山西高速,路桥
000756.SZ,000756,新华制药,化学制药
000757.SZ,000757,浩物股份,汽车服务
000758.SZ,000758,中色股份,铅锌
000759.SZ,000759,中百集团,超市连锁
000761.SZ,000761,本钢板材,普钢
000762.SZ,000762,西藏矿业,小金属
000766.SZ,000766,通化金马,化学制药
000767.SZ,000767,晋控电力,火力发电
000768.SZ,000768,中航西飞,航空
000776.SZ,000776,广发证券,证券
000777.SZ,000777,中核科技,机械基件
000778.SZ,000778,新兴铸管,钢加工
000779.SZ,000779,甘咨询,建筑工程
000782.SZ,000782,恒申新材,化纤
000783.SZ,000783,长江证券,证券
000785.SZ,000785,居然智家,百货
000786.SZ,000786,北新建材,其他建材
000788.SZ,000788,北大医药,化学制药
000789.SZ,000789,万年青,水泥
000790.SZ,000790,华神科技,中成药
000791.SZ,000791,甘肃能源,水力发电
000792.SZ,000792,盐湖股份,农药化肥
000793.SZ,000793,*ST华闻,出版业
000795.SZ,000795,英洛华,矿物制品
000796.SZ,000796,凯撒旅业,旅游服务
000797.SZ,000797,中国武夷,全国地产
000798.SZ,000798,中水渔业,渔业
000799.SZ,000799,酒鬼酒,白酒
000800.SZ,000800,一汽解放,汽车整车
000801.SZ,000801,四川九洲,家用电器
000802.SZ,000802,北京文化,影视音像
000803.SZ,000803,山高环能,环境保护
000807.SZ,000807,云铝股份,铝
000809.SZ,000809,和展能源,电气设备
000810.SZ,000810,创维数字,家用电器
000811.SZ,000811,冰轮环境,工程机械
000812.SZ,000812,陕西金叶,广告包装
000813.SZ,000813,德展健康,化学制药
000815.SZ,000815,美利云,通信设备
000816.SZ,000816,智慧农业,农用机械
000818.SZ,000818,航锦科技,化工原料
000819.SZ,000819,岳阳兴长,石油加工
000820.SZ,000820,*ST节能,综合类
000821.SZ,000821,ST京机,电气设备
000822.SZ,000822,山东海化,化工原料
000823.SZ,000823,超声电子,元器件
000825.SZ,000825,太钢不锈,特种钢
000826.SZ,000826,*ST启环,环境保护
000828.SZ,000828,东莞控股,路桥
000829.SZ,000829,天音控股,其他商业
000830.SZ,000830,鲁西化工,化工原料
000831.SZ,000831,中国稀土,小金属
000833.SZ,000833,粤桂股份,综合类
000837.SZ,000837,秦川机床,机床制造
000838.SZ,000838,*ST发展,区域地产
000839.SZ,000839,国安股份,综合类
000848.SZ,000848,承德露露,软饮料
000850.SZ,000850,华茂股份,纺织
000852.SZ,000852,石化机械,化工机械
000856.SZ,000856,冀东装备,专用机械
000858.SZ,000858,五粮液,白酒
000859.SZ,000859,国风新材,塑料
000860.SZ,000860,顺鑫农业,白酒
000862.SZ,000862,银星能源,新型电力
000863.SZ,000863,三湘印象,区域地产
000868.SZ,000868,安凯客车,汽车整车
000869.SZ,000869,张裕Ａ,红黄酒
000875.SZ,000875,电投绿能,火力发电
000876.SZ,000876,新希望,饲料
000877.SZ,000877,天山股份,水泥
000878.SZ,000878,云南铜业,铜
000880.SZ,000880,潍柴重机,专用机械
000881.SZ,000881,中广核技,化工原料
000882.SZ,000882,华联股份,其他商业
000883.SZ,000883,湖北能源,水力发电
000885.SZ,000885,城发环境,环境保护
000886.SZ,000886,海南高速,区域地产
000887.SZ,000887,中鼎股份,汽车配件
000888.SZ,000888,峨眉山Ａ,旅游景点
000889.SZ,000889,中嘉博创,通信设备
000890.SZ,000890,法尔胜,环境保护
000892.SZ,000892,欢瑞世纪,影视音像
000893.SZ,000893,亚钾国际,农药化肥
000895.SZ,000895,双汇发展,食品
001896.SZ,001896,豫能控股,火力发电
000897.SZ,000897,津滨发展,区域地产
000898.SZ,000898,鞍钢股份,普钢
000899.SZ,000899,赣能股份,火力发电
000900.SZ,000900,现代投资,路桥
000901.SZ,000901,航天科技,汽车配件
000902.SZ,000902,新洋丰,农药化肥
000903.SZ,000903,ST云动,汽车配件
000905.SZ,000905,厦门港务,港口
000906.SZ,000906,浙商中拓,仓储物流
000908.SZ,000908,ST景峰,化学制药
000909.SZ,000909,*ST数源,区域地产
000910.SZ,000910,大亚圣象,家居用品
000911.SZ,000911,*ST广糖,食品
000912.SZ,000912,泸天化,农药化肥
000913.SZ,000913,钱江摩托,摩托车
000915.SZ,000915,华特达因,化学制药
000917.SZ,000917,电广传媒,广告包装
000919.SZ,000919,金陵药业,化学制药
000920.SZ,000920,沃顿科技,塑料
000921.SZ,000921,海信家电,家用电器
000922.SZ,000922,佳电股份,电气设备
000923.SZ,000923,河钢资源,普钢
000925.SZ,000925,众合科技,运输设备
000926.SZ,000926,福星股份,区域地产
000927.SZ,000927,中国铁物,仓储物流
000928.SZ,000928,中钢国际,建筑工程
000929.SZ,000929,*ST兰黄,啤酒
000930.SZ,000930,中粮科技,农业综合
000931.SZ,000931,中关村,化学制药
000932.SZ,000932,华菱钢铁,普钢
000933.SZ,000933,神火股份,铝
000935.SZ,000935,四川双马,水泥
000936.SZ,000936,华西股份,化纤
000937.SZ,000937,冀中能源,煤炭开采
000938.SZ,000938,紫光股份,IT设备
000948.SZ,000948,南天信息,软件服务
000949.SZ,000949,新乡化纤,化纤
000950.SZ,000950,重药控股,医药商业
000951.SZ,000951,中国重汽,汽车整车
000952.SZ,000952,广济药业,化学制药
000953.SZ,000953,河化股份,化学制药
000955.SZ,000955,欣龙控股,纺织
000957.SZ,000957,中通客车,汽车整车
000958.SZ,000958,电投产融,新型电力
000959.SZ,000959,首钢股份,普钢
000960.SZ,000960,锡业股份,小金属
000962.SZ,000962,东方钽业,小金属
000963.SZ,000963,华东医药,化学制药
000965.SZ,000965,天保基建,区域地产
000966.SZ,000966,长源电力,火力发电
000967.SZ,000967,盈峰环境,环境保护
000968.SZ,000968,蓝焰控股,石油开采
000969.SZ,000969,安泰科技,小金属
000970.SZ,000970,中科三环,矿物制品
000972.SZ,000972,*ST中基,食品
000973.SZ,000973,佛塑科技,塑料
000975.SZ,000975,山金国际,黄金
000977.SZ,000977,浪潮信息,IT设备
000978.SZ,000978,桂林旅游,旅游景点
000980.SZ,000980,众泰汽车,汽车配件
000981.SZ,000981,山子高科,汽车配件
000983.SZ,000983,山西焦煤,煤炭开采
000985.SZ,000985,大庆华科,化工原料
000987.SZ,000987,越秀资本,多元金融
000988.SZ,000988,华工科技,专用机械
000989.SZ,000989,九芝堂,中成药
000990.SZ,000990,诚志股份,化工原料
000993.SZ,000993,闽东电力,水力发电
000995.SZ,000995,皇台酒业,白酒
000997.SZ,000997,新大陆,IT设备
000998.SZ,000998,隆平高科,种植业
000999.SZ,000999,华润三九,中成药
002001.SZ,002001,新和成,化学制药
002181.SZ,002181,粤传媒,出版业
600000.SH,600000,浦发银行,银行
600004.SH,600004,白云机场,机场
600006.SH,600006,东风股份,汽车整车
600007.SH,600007,中国国贸,园区开发
600008.SH,600008,首创环保,水务
600009.SH,600009,上海机场,机场
600010.SH,600010,包钢股份,普钢
600011.SH,600011,华能国际,火力发电
600012.SH,600012,皖通高速,路桥
600015.SH,600015,华夏银行,银行
600016.SH,600016,民生银行,银行
600019.SH,600019,宝钢股份,普钢
600020.SH,600020,中原高速,路桥
600021.SH,600021,上海电力,火力发电
600026.SH,600026,中远海能,水运
600028.SH,600028,中国石化,石油加工
600029.SH,600029,南方航空,空运
600030.SH,600030,中信证券,证券
600031.SH,600031,三一重工,工程机械
600033.SH,600033,福建高速,路桥
600035.SH,600035,楚天高速,路桥
600036.SH,600036,招商银行,银行
600037.SH,600037,歌华有线,影视音像
600038.SH,600038,中直股份,航空
600039.SH,600039,四川路桥,建筑工程
600050.SH,600050,中国联通,电信运营
600051.SH,600051,宁波联合,综合类
600052.SH,600052,东望时代,供气供热
600053.SH,600053,*ST九鼎,多元金融
600054.SH,600054,黄山旅游,旅游景点
600055.SH,600055,万东医疗,医疗保健
600056.SH,600056,中国医药,医药商业
600057.SH,600057,厦门象屿,仓储物流
600058.SH,600058,五矿发展,商贸代理
600059.SH,600059,古越龙山,红黄酒
600060.SH,600060,海信视像,家用电器
600061.SH,600061,国投资本,证券
600062.SH,600062,华润双鹤,化学制药
600063.SH,600063,皖维高新,化纤
600064.SH,600064,南京高科,园区开发
600066.SH,600066,宇通客车,汽车整车
600067.SH,600067,冠城新材,电气设备
600071.SH,600071,凤凰光学,元器件
600072.SH,600072,中船科技,电气设备
600073.SH,600073,光明肉业,食品
600075.SH,600075,新疆天业,化工原料
600076.SH,600076,康欣新材,广告包装
600078.SH,600078,澄星股份,化工原料
600079.SH,600079,ST人福,化学制药
600080.SH,600080,ST金花,中成药
600081.SH,600081,东风科技,汽车配件
600082.SH,600082,ST海泰,园区开发
600084.SH,600084,*ST尼雅,红黄酒
600085.SH,600085,同仁堂,中成药
600088.SH,600088,中视传媒,影视音像
600089.SH,600089,特变电工,电气设备
600094.SH,600094,大名城,区域地产
600095.SH,600095,湘财股份,证券
600096.SH,600096,云天化,农药化肥
600097.SH,600097,开创国际,渔业
600098.SH,600098,广州发展,火力发电
600099.SH,600099,林海股份,汽车整车
600100.SH,600100,同方股份,IT设备
600101.SH,600101,明星电力,水力发电
600103.SH,600103,青山纸业,造纸
600104.SH,600104,上汽集团,汽车整车
600105.SH,600105,永鼎股份,通信设备
600106.SH,600106,重庆路桥,路桥
600107.SH,600107,*ST尔雅,服饰
600108.SH,600108,亚盛集团,种植业
600109.SH,600109,国金证券,证券
600110.SH,600110,诺德股份,电气设备
600111.SH,600111,北方稀土,小金属
600113.SH,600113,浙江东日,区域地产
600114.SH,600114,东睦股份,机械基件
600115.SH,600115,中国东航,空运
600116.SH,600116,三峡水利,水力发电
600117.SH,600117,西宁特钢,特种钢
600118.SH,600118,中国卫星,航空
600119.SH,600119,*ST长投,仓储物流
600120.SH,600120,浙江东方,多元金融
600121.SH,600121,郑州煤电,煤炭开采
600123.SH,600123,兰花科创,煤炭开采
600125.SH,600125,铁龙物流,铁路
600126.SH,600126,杭钢股份,普钢
600127.SH,600127,金健米业,农业综合
600128.SH,600128,苏豪弘业,商贸代理
600129.SH,600129,太极集团,中成药
600130.SH,600130,波导股份,元器件
600131.SH,600131,国网信通,通信设备
600132.SH,600132,重庆啤酒,啤酒
600133.SH,600133,东湖高新,环境保护
600135.SH,600135,乐凯胶片,塑料
600136.SH,600136,ST明诚,房产服务
600137.SH,600137,浪莎股份,服饰
600138.SH,600138,中青旅,旅游景点
600141.SH,600141,兴发集团,农药化肥
600148.SH,600148,长春一东,汽车配件
600149.SH,600149,廊坊发展,综合类
600150.SH,600150,中国船舶,船舶
600151.SH,600151,航天机电,汽车配件
600152.SH,600152,维科技术,电气设备
600153.SH,600153,建发股份,仓储物流
600155.SH,600155,华创云信,证券
600156.SH,600156,XD华升股,纺织
600157.SH,600157,永泰能源,火力发电
600158.SH,600158,中体产业,文教休闲
600159.SH,600159,大龙地产,区域地产
600160.SH,600160,巨化股份,化工原料
600161.SH,600161,天坛生物,生物制药
600162.SH,600162,香江控股,全国地产
600163.SH,600163,中闽能源,新型电力
600165.SH,600165,ST宁科,化工原料
600166.SH,600166,福田汽车,汽车整车
600167.SH,600167,联美控股,供气供热
600168.SH,600168,武汉控股,水务
600169.SH,600169,ST太重,工程机械
600170.SH,600170,上海建工,建筑工程
600171.SH,600171,上海贝岭,半导体
600172.SH,600172,黄河旋风,矿物制品
600173.SH,600173,卧龙新能,全国地产
600176.SH,600176,中国巨石,玻璃
600177.SH,600177,雅戈尔,服饰
600178.SH,600178,东安动力,汽车配件
600179.SH,600179,安通控股,水运
600180.SH,600180,*ST瑞茂,仓储物流
600182.SH,600182,S佳通,汽车配件
600183.SH,600183,生益科技,元器件
600184.SH,600184,光电股份,专用机械
600185.SH,600185,珠免集团,旅游服务
600186.SH,600186,莲花控股,食品
600187.SH,600187,*ST国中,水务
600188.SH,600188,兖矿能源,煤炭开采
600189.SH,600189,泉阳泉,软饮料
600191.SH,600191,华资实业,食品
600192.SH,600192,长城电工,电气设备
600193.SH,600193,*ST创兴,装修装饰
600195.SH,600195,中牧股份,农业综合
600196.SH,600196,复星医药,化学制药
600197.SH,600197,伊力特,白酒
600198.SH,600198,大唐电信,通信设备
600199.SH,600199,金种子酒,白酒
600201.SH,600201,生物股份,农业综合
600202.SH,600202,哈空调,专用机械
600203.SH,600203,福日电子,元器件
600206.SH,600206,有研新材,半导体
600207.SH,600207,安彩高科,电气设备
600208.SH,600208,衢州发展,全国地产
600210.SH,600210,紫江企业,广告包装
600211.SH,600211,西藏药业,生物制药
600212.SH,600212,绿能慧充,电气设备
600215.SH,600215,派斯林,专用机械
600216.SH,600216,浙江医药,化学制药
600217.SH,600217,中再资环,环境保护
600218.SH,600218,全柴动力,汽车配件
600219.SH,600219,南山铝业,铝
600221.SH,600221,海航控股,空运
600222.SH,600222,太龙药业,中成药
600223.SH,600223,福瑞达,日用化工
600226.SH,600226,亨通股份,供气供热
600227.SH,600227,赤天化,农药化肥
600228.SH,600228,*ST返利,互联网
600229.SH,600229,城市传媒,出版业
600230.SH,600230,沧州大化,化工原料
600231.SH,600231,凌钢股份,普钢
600232.SH,600232,金鹰股份,纺织机械
600233.SH,600233,圆通速递,仓储物流
600234.SH,600234,科新发展,装修装饰
600235.SH,600235,民丰特纸,造纸
600236.SH,600236,桂冠电力,水力发电
600237.SH,600237,铜峰电子,元器件
600238.SH,600238,*ST椰岛,红黄酒
600239.SH,600239,ST云城,区域地产
600241.SH,600241,时代万恒,电气设备
600243.SH,600243,*ST海华,运输设备
600246.SH,600246,万通发展,区域地产
600248.SH,600248,陕建股份,建筑工程
600249.SH,600249,两面针,日用化工
600250.SH,600250,南京商旅,商贸代理
600251.SH,600251,冠农股份,农业综合
600252.SH,600252,中恒集团,中成药
600255.SH,600255,鑫科材料,小金属
600256.SH,600256,广汇能源,石油开采
600257.SH,600257,大湖股份,渔业
600258.SH,600258,首旅酒店,酒店餐饮
600259.SH,600259,中稀有色,小金属
600261.SH,600261,阳光照明,家用电器
600262.SH,600262,北方股份,专用机械
600265.SH,600265,*ST景谷,林业
600266.SH,600266,城建发展,区域地产
600267.SH,600267,海正药业,化学制药
600268.SH,600268,国电南自,电气设备
600269.SH,600269,赣粤高速,路桥
600271.SH,600271,航天信息,软件服务
600272.SH,600272,开开实业,医药商业
600273.SH,600273,嘉化能源,化工原料
600276.SH,600276,恒瑞医药,化学制药
600278.SH,600278,东方创业,商贸代理
600279.SH,600279,重庆港,港口
600280.SH,600280,中央商场,百货
600281.SH,600281,华阳新材,小金属
600282.SH,600282,南钢股份,普钢
600283.SH,600283,钱江水利,水务
600284.SH,600284,浦东建设,建筑工程
600285.SH,600285,羚锐制药,中成药
600287.SH,600287,苏豪时尚,商贸代理
600288.SH,600288,大恒科技,元器件
600289.SH,600289,ST信通,软件服务
600292.SH,600292,电投水电,水力发电
600293.SH,600293,三峡新材,玻璃
600295.SH,600295,鄂尔多斯,特种钢
600298.SH,600298,安琪酵母,食品
600299.SH,600299,安迪苏,饲料
600300.SH,600300,维维股份,软饮料
600301.SH,600301,华锡有色,小金属
600302.SH,600302,ST标准,纺织机械
600303.SH,600303,曙光股份,汽车整车
600305.SH,600305,恒顺醋业,食品
600307.SH,600307,酒钢宏兴,普钢
600308.SH,600308,华泰股份,造纸
600309.SH,600309,万华化学,化工原料
600310.SH,600310,广西能源,水力发电
600312.SH,600312,平高电气,电气设备
600313.SH,600313,农发种业,种植业
600315.SH,600315,上海家化,日用化工
600316.SH,600316,洪都航空,航空
600318.SH,600318,新力金融,多元金融
600319.SH,600319,亚星化学,化工原料
600320.SH,600320,振华重工,专用机械
600322.SH,600322,津投城开,区域地产
600323.SH,600323,瀚蓝环境,环境保护
600325.SH,600325,华发股份,区域地产
600326.SH,600326,西藏天路,水泥
600327.SH,600327,大东方,医疗保健
600328.SH,600328,中盐化工,化工原料
600329.SH,600329,达仁堂,中成药
600330.SH,600330,天通股份,专用机械
600331.SH,600331,宏达股份,农药化肥
600332.SH,600332,白云山,中成药
600333.SH,600333,长春燃气,供气供热
600335.SH,600335,国机汽车,汽车服务
600336.SH,600336,澳柯玛,家用电器
600337.SH,600337,ST美克,家居用品
600338.SH,600338,西藏珠峰,铅锌
600339.SH,600339,中油工程,石油开采
600340.SH,600340,*ST华幸,园区开发
600343.SH,600343,航天动力,机械基件
600345.SH,600345,长江通信,通信设备
600346.SH,600346,恒力石化,石油加工
600348.SH,600348,华阳股份,煤炭开采
600350.SH,600350,山东高速,路桥
600351.SH,600351,亚宝药业,中成药
600352.SH,600352,浙江龙盛,染料涂料
600353.SH,600353,旭光电子,元器件
600354.SH,600354,敦煌种业,种植业
600356.SH,600356,恒丰纸业,造纸
600358.SH,600358,国旅联合,广告包装
600359.SH,600359,新农开发,种植业
600360.SH,600360,*ST华微,半导体
600361.SH,600361,创新新材,铝
600362.SH,600362,江西铜业,铜
600363.SH,600363,联创光电,元器件
600365.SH,600365,ST通葡,互联网
600366.SH,600366,宁波韵升,矿物制品
600367.SH,600367,红星发展,化工原料
600368.SH,600368,五洲交通,路桥
600369.SH,600369,西南证券,证券
600370.SH,600370,*ST三房,化工原料
600371.SH,600371,万向德农,种植业
600372.SH,600372,中航机载,航空
600373.SH,600373,中文传媒,出版业
