trade_date,Strategy_Pure,Strategy_Hedged,Benchmark_EqualWeight,Benchmark_CSI1000
2025-01-09,1201002.0347604563,1201002.0347604563,1248564.789009318,1251574.4570067606
2025-01-10,1158612.4751978153,1158612.4751978153,1217421.6259683212,1223364.0704994902
2025-01-13,1155345.1436285872,1155345.1436285872,1217282.332800475,1226575.7531966243
2025-01-14,1217747.6867514818,1217747.6867514818,1266637.3569717323,1282081.8022665114
2025-01-15,1220630.5643246341,1220630.5643246341,1264149.4399099802,1274253.0361179162
2025-01-16,1232839.7351387895,1232839.7351387895,1273895.8485621514,1279930.6786629495
2025-01-17,1219427.3371428638,1219427.3371428638,1275041.1175243258,1288814.7088316304
2025-01-20,1220836.4807258921,1220836.4807258921,1285814.0051985383,1297105.4701418523
2025-01-21,1205316.1089234604,1205316.1089234604,1281359.2210907575,1303475.6641732014
2025-01-22,1178044.2482784675,1178044.2482784675,1268003.4356492967,1291940.346584622
2025-01-23,1169487.0148585276,1169487.0148585276,1265682.256356471,1286048.2535634185
2025-01-24,1168859.867606089,1168859.867606089,1275373.7779167008,1310118.1132329397
2025-01-27,1153763.3094426543,1153763.3094426543,1268580.2173895587,1289806.873226012
2025-02-05,1178664.0100134034,1178664.0100134034,1274400.3176419404,1297610.0465194264
2025-02-06,1206065.6870442354,1206065.6870442354,1296478.0497230021,1332998.1257646137
2025-02-07,1209329.98631966,1209329.98631966,1313247.1160092535,1353344.6662614462
2025-02-10,1251072.182120586,1251072.182120586,1332490.1823039302,1370220.947972593
2025-02-11,1240789.2848041342,1240789.2848041342,1330057.5159558028,1365726.0924674263
2025-02-12,1247179.4017608247,1247179.4017608247,1341383.9664859744,1386561.5447494376
2025-02-13,1250135.4295081678,1250135.4295081678,1332933.8240935274,1370651.1726933054
2025-02-14,1244275.1046281646,1244275.1046281646,1331563.6376857497,1378668.3552067664
2025-02-17,1282052.7127424995,1282052.7127424995,1345625.281925768,1385889.7323009404
2025-02-18,1259816.7050961726,1259816.7050961726,1319231.683442411,1355128.0028858145
2025-02-19,1273336.4727850552,1273336.4727850552,1339955.9625006402,1387425.965495977
2025-02-20,1268307.044491599,1268307.044491599,1349147.9617193022,1397549.484116434
2025-02-21,1272326.8067825197,1272326.8067825197,1353761.2123281357,1422880.6744158596
2025-02-24,1280541.0581142432,1280541.0581142432,1359590.0848125594,1426145.0872197885
2025-02-25,1286971.2560727166,1286971.2560727166,1351728.0309484026,1419836.0071615868
2025-02-26,1303940.3307257013,1303940.3307257013,1370390.2420915596,1439467.050853665
