ma_window,val_window,q_threshold,val_coeff,is_cagr,is_mdd,is_sharpe,is_vol
200,1100,0.18,0.7,0.013040074114506917,-0.29084833394682097,0.16658327697982783,0.13784418014561464
200,1100,0.18,0.8,0.0037560798891584923,-0.32795405255392895,0.10132092956644285,0.14967998591752943
200,1100,0.2,0.4,0.026895731509003706,-0.17809898780055497,0.3613650417911206,0.086368120683301
200,1100,0.2,0.5,0.0308847248508195,-0.23482261114637196,0.34096075360679223,0.11018976130444127
200,1100,0.2,0.6,0.022549244179391303,-0.2593370560357109,0.2446132119978545,0.12794841704394042
200,1100,0.2,0.7,0.014625759042048658,-0.29314290500289925,0.1777437800653321,0.13995786843077773
200,1100,0.2,0.8,0.006762650394295244,-0.32400678719977516,0.12221087935031173,0.15081492226628399
200,1210,0.1,0.4,0.02601949152396199,-0.1372071909633485,0.37249273462445687,0.08001905991577138
200,1210,0.1,0.5,0.019109728727284114,-0.19176622846031943,0.2454028422145504,0.10061073646059829
200,1210,0.1,0.6,0.016636219192353474,-0.24182238490194793,0.20314119508936596,0.11938450903178006
200,1210,0.1,0.7,0.010518191676731403,-0.2791371576801703,0.14808740604495785,0.13696943801348793
200,1210,0.1,0.8,0.0052157502289797986,-0.30678740711523333,0.11078196793592511,0.1468616925743346
200,1210,0.12,0.4,0.028494626432818304,-0.13885913569956673,0.4001098898784172,0.08090137183975171
200,1210,0.12,0.5,0.02297659118553863,-0.19105862748055383,0.28159570819893565,0.1021342999229302
200,1210,0.12,0.6,0.0209030348201944,-0.2419303668581561,0.23813990805682597,0.1206723132306942
200,1210,0.12,0.7,0.011640216197011721,-0.28357899976906237,0.1563550890168056,0.13767090895580875
200,1210,0.12,0.8,0.003410420306159345,-0.3148956881437562,0.09833137325787257,0.14750835841178506
200,1210,0.15,0.4,0.0318529228049671,-0.15041712435041962,0.43546429306129136,0.08234933381014958
200,1210,0.15,0.5,0.027119262530284516,-0.1881918394570733,0.3190069391823761,0.10379714729829131
200,1210,0.15,0.6,0.02454107234012315,-0.24593830951241336,0.26489088747216044,0.12383958418405656
200,1210,0.15,0.7,0.012518557944587672,-0.2883674369933638,0.16251417051641537,0.13977929585966167
200,1210,0.15,0.8,0.002902134560122338,-0.33575297013252126,0.09571773286805915,0.15001731466598073
200,1210,0.18,0.4,0.03675950509863002,-0.15041712435041962,0.4855522210627278,0.08429528061085545
200,1210,0.18,0.5,0.03261534449005654,-0.1881918394570733,0.3666395414400264,0.10599696472486414
200,1210,0.18,0.6,0.03046469571412347,-0.24593830951241336,0.30984958080234315,0.12597668002167578
200,1210,0.18,0.7,0.02031003544478649,-0.2883674369933638,0.21828329343267472,0.1414854207992951
200,1210,0.18,0.8,0.006950581374524312,-0.33575297013252126,0.12364755113037082,0.15088174694196488
200,1210,0.2,0.4,0.035108179607410195,-0.1594903634892408,0.46390274983315904,0.08475891017738979
200,1210,0.2,0.5,0.031002757934538883,-0.19273076381125934,0.347789790531391,0.1075851135946143
200,1210,0.2,0.6,0.02941470042636407,-0.2456765021450312,0.29916578538463373,0.1276801620991206
200,1210,0.2,0.7,0.02207203248797618,-0.2855517306363978,0.23012708680063695,0.14275767570619485
200,1210,0.2,0.8,0.009990812552242323,-0.32918274637878125,0.1443795897008754,0.15199218128874212
200,1300,0.1,0.4,0.024598955765494424,-0.1387016041934569,0.34839478392667167,0.08186660393243364
200,1300,0.1,0.5,0.01305954440920809,-0.18892071191982707,0.1834190846103691,0.10154472581813526
200,1300,0.1,0.6,0.015213367130880728,-0.2405547823233098,0.19055790361143557,0.12012509483371096
200,1300,0.1,0.7,0.00894395577419016,-0.28011822240652506,0.13629735989489292,0.13802149665845156
200,1300,0.1,0.8,0.00252706025854188,-0.3094212590731482,0.09282684359023825,0.1492538501716694
200,1300,0.12,0.4,0.03297772276152222,-0.13465231848570003,0.4489981916290145,0.08237934292360018
200,1300,0.12,0.5,0.024406962989016456,-0.18619853709038195,0.295341368310292,0.10234529511293795
200,1300,0.12,0.6,0.024252204473018457,-0.23214116405638655,0.2644799179001773,0.12213042967949216
200,1300,0.12,0.7,0.015759292246792844,-0.2733986995365864,0.1863383761728328,0.13915237513513923
200,1300,0.12,0.8,0.0064398586793861234,-0.3147518407336277,0.12015515580142867,0.15095198117482692
200,1300,0.15,0.4,0.03457328902115675,-0.13662846184991143,0.46941284852941606,0.08216363434685404
200,1300,0.15,0.5,0.02896851161998404,-0.19043943391036763,0.3375472003216996,0.103519911724441
200,1300,0.15,0.6,0.029457999071507146,-0.23637284612621165,0.3051293642481949,0.12365682549191614
200,1300,0.15,0.7,0.01829035432127002,-0.2768617910807212,0.20408676640617768,0.14077682585140436
200,1300,0.15,0.8,0.009065589224116044,-0.30359451184903147,0.13805527269536938,0.15149323194118466
200,1300,0.18,0.4,0.03614946375398609,-0.1474802429403565,0.47140631346315626,0.08580402994087243
200,1300,0.18,0.5,0.031454195382771166,-0.18540666720727178,0.35494597899245217,0.1063048223922076
200,1300,0.18,0.6,0.03093856988563859,-0.24117301257004994,0.31158571678525604,0.12737296617055532
200,1300,0.18,0.7,0.021146466903931405,-0.2877475039332083,0.22286354179401938,0.14398789982345234
200,1300,0.18,0.8,0.010039989645490133,-0.32283396244439033,0.1448339297851215,0.15424461744506854
200,1300,0.2,0.4,0.03864611857769251,-0.1474802429403565,0.49495893175008404,0.08695139245707088
200,1300,0.2,0.5,0.03419105037000403,-0.18540666720727178,0.3775579814430359,0.10755114162565745
200,1300,0.2,0.6,0.033166693425144,-0.24117301257004994,0.32698236145285026,0.1287401713715009
200,1300,0.2,0.7,0.021624712003902813,-0.2877475039332083,0.22588336408024548,0.1446016106516205
200,1300,0.2,0.8,0.010714360154834734,-0.32283396244439033,0.14932670579951413,0.15469792352353784
200,1400,0.1,0.4,0.023338189868874926,-0.13212046712655137,0.3353742682897235,0.08105445380512756
200,1400,0.1,0.5,0.016677474335810016,-0.17913677848367354,0.2185833201807704,0.10253697721076079
200,1400,0.1,0.6,0.01369775620621616,-0.22357298958200808,0.17765940164193958,0.12026637951915821
200,1400,0.1,0.7,0.01031776354668601,-0.27851321021533243,0.14648885714309492,0.1387622268983224
200,1400,0.1,0.8,0.005162918927665405,-0.31411465938004496,0.11100710875736164,0.1491496338660113
200,1400,0.12,0.4,0.027575641492798342,-0.143462118890643,0.38214779662705795,0.08266028481626043
200,1400,0.12,0.5,0.02289345667055609,-0.18455661663185313,0.28060256747659673,0.10222712486730406
200,1400,0.12,0.6,0.01579920348124708,-0.23451501031142266,0.19469927754372907,0.12151184732500495
200,1400,0.12,0.7,0.014606742444514431,-0.2809524742609533,0.177751323014984,0.1397487600919702
200,1400,0.12,0.8,0.006483765154007948,-0.3186347658576075,0.12085676333257254,0.15285997882101313
200,1400,0.15,0.4,0.03270894496059684,-0.1429380905886107,0.43944433330515215,0.08383678921693147
200,1400,0.15,0.5,0.030594089823253512,-0.18223985977079182,0.35093395524061805,0.10452168225875001
200,1400,0.15,0.6,0.022699782579715055,-0.22883243269941927,0.25006431988658606,0.12366875157125284
200,1400,0.15,0.7,0.021589363271002693,-0.2655015937553446,0.22766444820610435,0.1411060992412033
200,1400,0.15,0.8,0.012880369549367776,-0.3032904435690247,0.16368365198858906,0.15346321275151478
200,1400,0.18,0.4,0.04095970708216634,-0.1326342278996555,0.5279745055489945,0.08565947983245122
200,1400,0.18,0.5,0.03170935912989248,-0.18385206785182148,0.35299325772652596,0.10819483676358471
200,1400,0.18,0.6,0.02343979677346031,-0.23552213511928172,0.251385702571319,0.12836662724143877
200,1400,0.18,0.7,0.023732407410547163,-0.27126723575220063,0.24127128515165794,0.14364837147827272
200,1400,0.18,0.8,0.015878689826602344,-0.309380221203991,0.18328020275367318,0.15526698595116867
200,1400,0.2,0.4,0.04186261812527703,-0.1361339603292372,0.5321249975612707,0.08687378688817714
200,1400,0.2,0.5,0.034720656932657024,-0.18385206785182176,0.376486101500155,0.10996435483058477
200,1400,0.2,0.6,0.024742362034850807,-0.23204599959336536,0.2599220842344961,0.13004757479458176
200,1400,0.2,0.7,0.022399309744385087,-0.271820252128731,0.2310149208868618,0.14509774401178896
200,1400,0.2,0.8,0.012440698947986384,-0.31378888659321674,0.16066581094764884,0.15645808844092596
220,1000,0.1,0.4,0.02513119268623476,-0.17788893549761114,0.3454231329672104,0.08478813197122344
220,1000,0.1,0.5,0.026447966309120163,-0.22312712891716252,0.31199266041380175,0.10392518385392784
220,1000,0.1,0.6,0.0177861205944001,-0.2677471035621898,0.21151692726597543,0.12099051174950105
220,1000,0.1,0.7,0.012093600643891644,-0.2995748646085873,0.15978597576769532,0.13631619527854
220,1000,0.1,0.8,0.004123021851726749,-0.3241300944191954,0.10287665138362617,0.1466304643119979
220,1000,0.12,0.4,0.021712952964453525,-0.19220374147581804,0.30225063631439675,0.08574446066246315
220,1000,0.12,0.5,0.022662231129658927,-0.24025079951343917,0.27279632137677434,0.10544242823346837
220,1000,0.12,0.6,0.014723576429519492,-0.2770333778553548,0.18483357419806606,0.12278724990670706
220,1000,0.12,0.7,0.010145053910559199,-0.29523471271729046,0.14509950148979464,0.13724620848193106
220,1000,0.12,0.8,0.002149051157668058,-0.31840048756490896,0.08937402666431457,0.14759751461053258
220,1000,0.15,0.4,0.029027500429711806,-0.18055981731732143,0.38234994199797506,0.08747173464333044
220,1000,0.15,0.5,0.032220085636576856,-0.2309228579786333,0.35695280394291456,0.10843862355153118
220,1000,0.15,0.6,0.023758058397321813,-0.2694820448846038,0.2565872548657619,0.12547685824615226
220,1000,0.15,0.7,0.013032462321874938,-0.28999830334469656,0.16629524639244325,0.13870169668348126
220,1000,0.15,0.8,0.0038870793914600466,-0.31185900118004656,0.10181294231556137,0.14858634398881299
220,1000,0.18,0.4,0.028647633590040966,-0.19139488876240837,0.3752987100772265,0.0882872417244589
220,1000,0.18,0.5,0.028869058699336758,-0.24102791968193701,0.3236354848570078,0.10959385985651438
220,1000,0.18,0.6,0.020951713370914282,-0.2772988680465972,0.2325010483597586,0.12718326967356663
220,1000,0.18,0.7,0.013536761733948355,-0.29027059861006915,0.16979430755251282,0.13961211815321642
220,1000,0.18,0.8,0.001289388099887212,-0.3250850282267386,0.08404495905195022,0.14922183185572757
220,1000,0.2,0.4,0.029078984774151495,-0.19139488876240837,0.379158692562312,0.0886069886767509
220,1000,0.2,0.5,0.028833269411165707,-0.24102791968193701,0.3226125819123562,0.1099515712131736
220,1000,0.2,0.6,0.02109834661278165,-0.2772988680465972,0.23330364555799438,0.1276214485743431
220,1000,0.2,0.7,0.01383715540889452,-0.29027059861006915,0.17192294382242707,0.1398957308846439
220,1000,0.2,0.8,0.0017697827094274032,-0.3250850282267386,0.08745668545624281,0.14943538538735146
220,1100,0.1,0.4,0.019294184532153924,-0.15453502066657795,0.2872908268731932,0.08005507780492042
220,1100,0.1,0.5,0.02070726204871054,-0.20486189450320486,0.26116310171092944,0.10075664263680802
220,1100,0.1,0.6,0.015057094558577955,-0.24653751432831109,0.18963222062047652,0.11933110939711197
220,1100,0.1,0.7,0.010353955611166032,-0.28134983925275403,0.14687832019361977,0.13562449434703103
220,1100,0.1,0.8,0.004601907002310002,-0.3093616422552339,0.10668447864442485,0.14787867761591691
220,1100,0.12,0.4,0.020525968454497168,-0.16182480719767253,0.2967856559498124,0.08232087467727202
