vol_target,val_tilt,strike_ratio,is_cagr,is_mdd,is_sharpe,is_calmar,oos_cagr,oos_mdd,oos_sharpe,oos_calmar
0.04,0.8,0.95,0.034417537237528606,-0.05171397343988033,0.8595053297791224,0.6655365068309911,0.0909585696633477,-0.043222091712220065,2.0838816129779434,2.104446269490267
0.04,0.8,0.97,0.03436338109113568,-0.0496807076303667,0.8560627584272748,0.6916846142129325,0.09069461152308689,-0.043222091712220065,2.0787741713980177,2.0983392503756373
0.04,0.8,1.0,0.03358766652155731,-0.049680707630368214,0.8321911433957041,0.6760706142000734,0.09056225997819434,-0.043222091712220065,2.0788912767044843,2.095277123124282
0.05,0.0,0.95,0.04320307474592666,-0.059825452856118295,0.9442883496292035,0.7221520721260754,0.09970062428995519,-0.039423505322320584,2.1392080675615293,2.528963963879367
0.05,0.0,0.97,0.04310934717982873,-0.05548750927714717,0.9387869425762617,0.7769198463118535,0.09936053096475783,-0.039423505322320584,2.1329451541004762,2.520337300105641
0.05,0.0,1.0,0.04203658959187373,-0.049280231537815536,0.9078267780873926,0.8530112030747391,0.09916694940092907,-0.039423505322320584,2.1319928895120888,2.5154269918454784
0.05,0.2,0.95,0.04256578365652319,-0.06050128484878887,0.928081420952463,0.7035517305608971,0.10034089572755578,-0.04138962466366683,2.103251903947649,2.4243006923336106
0.05,0.2,0.97,0.04246732645243556,-0.05650653243721652,0.9228668810912185,0.751547203849755,0.10001887978783985,-0.04138962466366683,2.097458751454718,2.4165205797490525
0.05,0.2,1.0,0.04142611423262421,-0.05079197891372465,0.8935842381356843,0.8156034696539524,0.09984016253812378,-0.04138962466366683,2.0966532099411657,2.4122026558449745
0.05,0.4,0.95,0.042012244428918155,-0.06026335994076915,0.9136343605145648,0.6971440767692109,0.10186740517637793,-0.043364805181814646,2.0874584619460044,2.34908019877596
0.05,0.4,0.97,0.04191369006222545,-0.05661703429518055,0.908781888916541,0.7403017587198717,0.10156340816891474,-0.043364805181814646,2.0821183616842522,2.34206997455868
0.05,0.4,1.0,0.0409199249917207,-0.051402030376572996,0.8814454135027718,0.7960760439216109,0.10139948694084655,-0.043364805181814646,2.0814844847402854,2.3382899223393534
0.05,0.6,0.95,0.0406677987993469,-0.06083924941918979,0.8835779281825317,0.6684467541527483,0.0999370735794145,-0.04527357289546313,2.037267051973459,2.2074041695399127
0.05,0.6,0.97,0.04056647254191659,-0.05755389676644917,0.8790776816258351,0.7048431960486238,0.09965219613392873,-0.04527357289546313,2.0322908315676913,2.201111813375676
0.05,0.6,1.0,0.0396079737405044,-0.05489252045652912,0.8534842667643686,0.7215550208132824,0.0995036419799693,-0.04527357289546313,2.031815137817065,2.1978305580105997
0.05,0.8,0.95,0.03962621615940609,-0.06130249608924105,0.8614630668043615,0.6464046113509027,0.10318348729271065,-0.047036408442210575,2.024499130445502,2.1936940066221884
0.05,0.8,0.97,0.03952529595567844,-0.05838530014077948,0.8573336802135821,0.6769734138622988,0.1029165713256246,-0.047036408442210575,2.0200148383576426,2.188019339360678
0.05,0.8,1.0,0.03860652356677119,-0.05661478275765186,0.8334104248383574,0.681915953506918,0.1027827366934917,-0.047036408442210575,2.0196771561808777,2.1851739981332043
0.06,0.0,0.95,0.047415148504104554,-0.059008422032942286,0.9536454132301525,0.8035318835950973,0.10725813371330939,-0.039423505322321056,2.1872154614342185,2.720664558779893
0.06,0.0,0.97,0.04726357143313131,-0.056290000003404325,0.9465649942557925,0.8396441895589428,0.10691570315336385,-0.039423505322321056,2.181223842086093,2.711978609695816
0.06,0.0,1.0,0.0458897473969897,-0.053097791187376224,0.9112454925757807,0.8642496490117614,0.10672079123247258,-0.039423505322321056,2.180237937138209,2.707034556159792
0.06,0.2,0.95,0.046771372285324464,-0.05957738485668968,0.937492189410232,0.7850524556898659,0.10880420974533189,-0.04138962466366701,2.1685972073976787,2.6287798120779606
0.06,0.2,0.97,0.04663246679051691,-0.056971234787657456,0.9310547409487665,0.8185265242069075,0.10847971700772008,-0.04138962466366701,2.1630536711682304,2.62093985846039
0.06,0.2,1.0,0.045413535343974853,-0.053528708349288884,0.8993936773939217,0.8483958747451854,0.10829962514745306,-0.04138962466366701,2.1622372934217426,2.616588723079713
