ma_window,val_window,q_threshold,val_coeff,is_cagr,is_mdd,is_sharpe,is_vol,ma_idx,val_w_idx,q_idx,coeff_idx,mean_cagr,std_cagr,mean_mdd,std_mdd,mean_sharpe,num_neighbors,robustness_score
200,1100,0.15,0.4,0.025739379469893908,-0.16209956871587733,0.35692763052995796,0.08348443397846604,0,1,2,0,0.028159761616597723,0.004489943092571671,-0.19117084236067722,0.030917834074166605,0.3530702291072178,36,-0.07450721499708855
200,1100,0.15,0.5,0.031335535140697424,-0.22023982380051785,0.354412344423077,0.10598947804837629,0,1,2,1,0.026090489113828854,0.005276728313480724,-0.21350714464525988,0.04119344087129188,0.316405611553737,54,-0.08995711704575561
200,1100,0.15,0.6,0.02077010785825184,-0.25784823600391926,0.23433280368864515,0.12344357844939598,0,1,2,2,0.021116941482538128,0.00734864304686646,-0.25485385561472257,0.03270449501880326,0.24510972439216389,54,-0.1143206139379571
200,1100,0.15,0.7,0.010064877547714346,-0.2989085015092189,0.14457800675839858,0.1366360486839667,0,1,2,3,0.012635929816153616,0.00842341131103504,-0.2906200624213685,0.02896686517564613,0.16819505172418814,54,-0.14015215669186687
200,1100,0.15,0.8,0.0011846168909805943,-0.34057375330389716,0.08327562278444516,0.14894740895948938,0,1,2,4,0.007977922670084866,0.005707815515507778,-0.30684021902484004,0.019407029223716715,0.1307543893628944,36,-0.15046515579018005
200,1100,0.18,0.4,0.027895222592528413,-0.15927335826358804,0.37406990545715785,0.08604503724193392,0,1,3,0,0.03039812775409472,0.003261190920332329,-0.19449326530080518,0.03020140513741415,0.37323420908214594,36,-0.07354102410785716
200,1100,0.18,0.5,0.03451893489793578,-0.21886250461620288,0.37835494486030546,0.10838485587591244,0,1,3,1,0.028199969898493937,0.004616703326748348,-0.21621154544680077,0.040076461236303935,0.3342329305897004,54,-0.08884443573751691
200,1100,0.18,0.6,0.02414927380165177,-0.2470018445995978,0.2599328000258145,0.12533728638465805,0,1,3,2,0.02318351405349816,0.006994638086873141,-0.2558512702547672,0.031162563165408916,0.2602272198900899,54,-0.11237356132434187
200,1100,0.18,0.7,0.013040074114506917,-0.29084833394682097,0.16658327697982783,0.13784418014561464,0,1,3,3,0.014484413985309617,0.008705736959460893,-0.29057188875403583,0.027950162440312485,0.18135727109433106,54,-0.138132710271663
200,1100,0.18,0.8,0.0037560798891584923,-0.32795405255392895,0.10132092956644285,0.14967998591752943,0,1,3,4,0.00982479388431824,0.006458230503532596,-0.3060337802616578,0.01930282195990971,0.14392071983909202,36,-0.1483443067391991
200,1100,0.2,0.4,0.026895731509003706,-0.17809898780055497,0.3613650417911206,0.086368120683301,0,1,4,0,0.03087293402696899,0.0034301171904454826,-0.19654862185964406,0.030681793315888557,0.376414675603762,24,-0.07422375900411986
200,1100,0.2,0.5,0.0308847248508195,-0.23482261114637196,0.34096075360679223,0.11018976130444127,0,1,4,1,0.02868905011375408,0.004830157260294024,-0.21782529303661038,0.03995325924829059,0.3374291185972377,36,-0.08918027970626803
200,1100,0.2,0.6,0.022549244179391303,-0.2593370560357109,0.2446132119978545,0.12794841704394042,0,1,4,2,0.02397835155265536,0.006583448912794359,-0.25634762027720237,0.03039395938540795,0.26540720636652254,36,-0.11159094024558629
200,1100,0.2,0.7,0.014625759042048658,-0.29314290500289925,0.1777437800653321,0.13995786843077773,0,1,4,3,0.01548868794613873,0.008665620860220522,-0.29014782277567136,0.02728431043952275,0.18832548532131155,36,-0.1367752097016456
200,1100,0.2,0.8,0.006762650394295244,-0.32400678719977516,0.12221087935031173,0.15081492226628399,0,1,4,4,0.011072390775545967,0.0067235821764373704,-0.3050324164682355,0.018896170760704403,0.15275922568987285,24,-0.1465677680460001
200,1210,0.1,0.4,0.02601949152396199,-0.1372071909633485,0.37249273462445687,0.08001905991577138,0,2,0,0,0.023672055938506964,0.0051039137465441805,-0.17022745390231772,0.027718303166674983,0.3166305072808452,24,-0.06800611439529573
200,1210,0.1,0.5,0.019109728727284114,-0.19176622846031943,0.2454028422145504,0.10061073646059829,0,2,0,1,0.021979515323667684,0.005198015444850091,-0.19420850039634419,0.04099121125877593,0.28390884220918206,36,-0.0843625802152296
200,1210,0.1,0.6,0.016636219192353474,-0.24182238490194793,0.20314119508936596,0.11938450903178006,0,2,0,2,0.017025913140340816,0.005633712371289137,-0.23984643568115033,0.035904667832865556,0.21255763477345144,36,-0.11120498074106529
200,1210,0.1,0.7,0.010518191676731403,-0.2791371576801703,0.14808740604495785,0.13696943801348793,0,2,0,3,0.011201753306780514,0.006484939107767534,-0.27994772953652525,0.0314760616662152,0.1575651251621698,36,-0.13636431161627866
200,1210,0.1,0.8,0.0052157502289797986,-0.30678740711523333,0.11078196793592511,0.1468616925743346,0,2,0,4,0.007505412913176209,0.004025894411737695,-0.2988362976125893,0.019721477574564137,0.12711493171032665,24,-0.1466622102903788
200,1210,0.12,0.4,0.028494626432818304,-0.13885913569956673,0.4001098898784172,0.08090137183975171,0,2,1,0,0.025867999939061328,0.005514686151584554,-0.17279456034437277,0.02787885231982869,0.3384893169044096,36,-0.0672079879274077
200,1210,0.12,0.5,0.02297659118553863,-0.19105862748055383,0.28159570819893565,0.1021342999229302,0,2,1,1,0.024166082986805063,0.005772368098866084,-0.1964085870862562,0.040687548612618536,0.3041066296136836,54,-0.08333019389861997
200,1210,0.12,0.6,0.0209030348201944,-0.2419303668581561,0.23813990805682597,0.1206723132306942,0,2,1,2,0.018912153737784963,0.006738374024771811,-0.24150093904404493,0.035715620237625915,0.228071128305455,54,-0.11032911463671705
200,1210,0.12,0.7,0.011640216197011721,-0.28357899976906237,0.1563550890168056,0.13767090895580875,0,2,1,3,0.012341409284140157,0.007548432362499183,-0.28129362877954694,0.03164844399398324,0.16621511978756148,54,-0.13614478037692979
200,1210,0.12,0.8,0.003410420306159345,-0.3148956881437562,0.09833137325787257,0.14750835841178506,0,2,1,4,0.00813098938506397,0.004626696078372483,-0.30012212288430895,0.020144024064593702,0.1316520521652263,36,-0.14688421608568375
200,1210,0.15,0.4,0.0318529228049671,-0.15041712435041962,0.43546429306129136,0.08234933381014958,0,2,2,0,0.0299408409483441,0.004835986738578306,-0.17586213452620583,0.027605030182072655,0.37736206969984265,36,-0.064478429698889
200,1210,0.15,0.5,0.027119262530284516,-0.1881918394570733,0.3190069391823761,0.10379714729829131,0,2,2,1,0.028288996029633844,0.005219343603661958,-0.19893621237350104,0.03995103133466529,0.340824474366467,54,-0.08021318514478212
200,1210,0.15,0.6,0.02454107234012315,-0.24593830951241336,0.26489088747216044,0.12383958418405656,0,2,2,2,0.02279657885042959,0.007125950214987057,-0.24349842978154307,0.035494625964308024,0.25906485528667955,54,-0.10747675127620097
200,1210,0.15,0.7,0.012518557944587672,-0.2883674369933638,0.16251417051641537,0.13977929585966167,0,2,2,3,0.015089598920854243,0.008831997343355043,-0.2835553189648198,0.03232160304795448,0.1865716031827569,54,-0.13491878063981758
200,1210,0.15,0.8,0.002902134560122338,-0.33575297013252126,0.09571773286805915,0.15001731466598073,0,2,2,4,0.010141745285174697,0.005854290731737306,-0.30279079441318396,0.02054672791511065,0.14598276292427753,36,-0.14653385565078686
200,1210,0.18,0.4,0.03675950509863002,-0.15041712435041962,0.4855522210627278,0.08429528061085545,0,2,3,0,0.032323805370209784,0.0040501441281420685,-0.1800181830318719,0.027814214919546023,0.3980449767447408,36,-0.06405815795526378
200,1210,0.18,0.5,0.03261534449005654,-0.1881918394570733,0.3666395414400264,0.10599696472486414,0,2,3,1,0.030618753029191835,0.004842044770553451,-0.20260693037992028,0.03953136536973092,0.35975378672283775,54,-0.07955939418882517
200,1210,0.18,0.6,0.03046469571412347,-0.24593830951241336,0.30984958080234315,0.12597668002167578,0,2,3,2,0.02517740505636883,0.006938803520273595,-0.2459210327632672,0.03496708922487882,0.27632862541274755,54,-0.10616428987429526
200,1210,0.18,0.7,0.02031003544478649,-0.2883674369933638,0.21828329343267472,0.1414854207992951,0,2,3,3,0.017273887325452493,0.009049403427986385,-0.2847835490999484,0.030985919496267767,0.20181990337750555,54,-0.13312495180937256
200,1210,0.18,0.8,0.006950581374524312,-0.33575297013252126,0.12364755113037082,0.15088174694196488,0,2,3,4,0.01230650681460077,0.006226566289729765,-0.3032831111119141,0.01933342252421813,0.16114415172674246,36,-0.14444704650414583
