trade_date,w_hs300,w_zz500,w_chinext,w_div,w_gold,w_nasdaq,w_bond,w_cbond,w_cash
2015-02-03,0.05378129210979153,0.06904253351356643,0.05871858899360461,0.0542474411022379,0.10249086968224692,0.113693022580291,0.5025568157897874,0.045469436228474165,0.0
2015-02-04,0.053257345670112456,0.06879700508585491,0.058985701120606616,0.05376710180460434,0.10144726130093232,0.11493126467225123,0.5036320220169954,0.04518229832864271,0.0
2015-02-05,0.05271147942702947,0.06844134760699509,0.05954105943153171,0.05313062978255071,0.1020799044991528,0.11451352558787467,0.5045865244706885,0.04499552919417706,0.0
2015-02-06,0.052054058162424754,0.06724911867098905,0.05830622379733535,0.05188709269527475,0.1019888056232774,0.1158656369249583,0.5084971437968638,0.04415192032887664,0.0
2015-02-09,0.05496710008605692,0.0733358562683612,0.060733911016806204,0.05540169759412905,0.054126459527809895,0.11671547262091131,0.5378451971270003,0.046874305758925004,0.0
2015-02-10,0.05375067549425268,0.07166438015090354,0.05909964440874991,0.05398394642222048,0.10642977531455841,0.11428675292381946,0.4948326367461214,0.04595218853937407,0.0
2015-02-11,0.05386676959901438,0.07203056631404751,0.059604756262016854,0.0537216175948211,0.10539451950662847,0.11512332121744591,0.49451649391587077,0.045741955590155155,0.0
2015-02-12,0.053865978393668204,0.07235015899308911,0.059987764897461826,0.05380838526072769,0.10407554353998606,0.11549229842425245,0.4945772991980536,0.045842571292761064,0.0
2015-02-13,0.053874013815819355,0.07291006929898046,0.06075132402829605,0.05392320880417988,0.10399078166239398,0.11675146501268731,0.4916772685155581,0.04612186886208494,0.0
2015-02-16,0.05768940725780618,0.0754376318876989,0.061582771778486714,0.057810921859538594,0.058336083991407627,0.11809988131306995,0.5213448846498525,0.049698417262139416,0.0
2015-02-17,0.05791843893208438,0.07577662965471808,0.061351205892541165,0.05811286209135062,0.05795502211583309,0.11796419799770463,0.5210984929883585,0.04982315032740942,0.0
2015-02-25,0.05796596285432939,0.07595680663455191,0.06133231675223444,0.05797346798935744,0.05806920577380819,0.11799780826344815,0.5210853545342526,0.049619077198017766,0.0
2015-02-26,0.059237853516100926,0.07652532206901576,0.06125775009115818,0.05918547867430565,0.057839303383221456,0.11713930010168298,0.5184862543571447,0.05032873780737033,0.0
2015-02-27,0.05919527116527872,0.07695554374396352,0.06265009061025517,0.059106863864509696,0.057715227081723816,0.11724519567694766,0.5172705699660928,0.049861237891228725,0.0
2015-03-02,0.058505201138541026,0.07644437134349605,0.06116796000794142,0.0584570385162356,0.058621857742430915,0.12053535391314656,0.5161458633542979,0.05012235398391053,0.0
2015-03-03,0.05715597318358506,0.07640526547908161,0.06056846535640663,0.05743413597471688,0.05836839225666334,0.12272151773468296,0.5174301557929186,0.04991609422194495,0.0
