trade_date,nav,cash,holdings_val,benchmark
2024-05-15,852391.3699947135,752319.6023761292,100071.76761858424,911286.9813400483
2024-05-16,852391.3699947135,752319.6023761292,100071.76761858424,914480.9514793368
2024-05-17,852391.3699947135,752319.6023761292,100071.76761858424,925023.7533188865
2024-05-20,852391.3699947135,752319.6023761292,100071.76761858424,928118.555746317
2024-05-21,852391.3699947135,752319.6023761292,100071.76761858424,919232.5937474201
2024-05-22,852391.3699947135,752319.6023761292,100071.76761858424,920412.1693147743
2024-05-23,852391.3699947135,752319.6023761292,100071.76761858424,900047.6533407347
2024-05-24,852391.3699947135,752319.6023761292,100071.76761858424,893502.8048988428
2024-05-27,852391.3699947135,752319.6023761292,100071.76761858424,898327.7929366417
2024-05-28,852391.3699947135,752319.6023761292,100071.76761858424,888280.2312696876
2024-05-29,852391.3699947135,752319.6023761292,100071.76761858424,889755.1132315999
2024-05-30,852391.3699947135,752319.6023761292,100071.76761858424,882273.783941193
2024-05-31,852391.3699947135,752319.6023761292,100071.76761858424,884963.2315603617
2024-06-03,852391.3699947135,752319.6023761292,100071.76761858424,867903.3193306733
2024-06-04,852391.3699947135,752319.6023761292,100071.76761858424,865227.0742569831
2024-06-05,852391.3699947135,752319.6023761292,100071.76761858424,848102.7628083165
2024-06-06,852391.3699947135,752319.6023761292,100071.76761858424,821005.002873698
2024-06-07,852391.3699947135,752319.6023761292,100071.76761858424,836051.1676937636
2024-06-11,852391.3699947135,752319.6023761292,100071.76761858424,835790.6137870203
2024-06-12,852391.3699947135,752319.6023761292,100071.76761858424,845956.7817912498
2024-06-13,852391.3699947135,752319.6023761292,100071.76761858424,838053.7244736742
2024-06-14,852391.3699947135,752319.6023761292,100071.76761858424,840416.0402942304
2024-06-17,849259.0840824674,0.0,849259.0840824674,834590.3957110649
2024-06-18,854179.3515060697,0.0,854179.3515060697,843562.5584306698
2024-06-19,855671.8140854116,0.0,855671.8140854116,838046.7053775948
2024-06-20,836997.3453818905,0.0,836997.3453818905,819574.4879049228
2024-06-21,829418.2042371299,0.0,829418.2042371299,819502.6325535623
2024-06-24,827281.3568565816,710145.6128022843,117135.74405429736,792849.0846514663
2024-06-25,827281.3568565816,710145.6128022843,117135.74405429736,795056.2119126349
2024-06-26,827281.3568565816,710145.6128022843,117135.74405429736,813361.623833213
2024-06-27,827281.3568565816,710145.6128022843,117135.74405429736,799007.6334688887
2024-06-28,827281.3568565816,710145.6128022843,117135.74405429736,802541.1586652213
2024-07-01,829202.003834778,0.0,829202.003834778,812504.9716425878
2024-07-02,839625.6169968217,0.0,839625.6169968217,813563.4129888469
2024-07-03,850319.3424469819,0.0,850319.3424469819,809043.6142956691
2024-07-04,848166.7019145918,715394.2035977201,132772.4983168717,789454.8979105599
2024-07-05,848166.7019145918,715394.2035977201,132772.4983168717,796873.6768385677
2024-07-08,848166.7019145918,715394.2035977201,132772.4983168717,776794.6680914641
2024-07-09,848118.9290918233,731270.7050311418,116848.22406068153,787532.0832314912
2024-07-10,848118.9290918233,731270.7050311418,116848.22406068153,779944.2333650629
2024-07-11,848118.9290918233,731270.7050311418,116848.22406068153,802793.3749414613
2024-07-12,848118.9290918233,731270.7050311418,116848.22406068153,801852.6952308194
2024-07-15,843982.6603692814,0.0,843982.6603692814,792025.344514431
2024-07-16,842822.960321971,0.0,842822.960321971,791860.8900614867
2024-07-17,846853.8078908017,0.0,846853.8078908017,785583.8805404174
2024-07-18,849992.589764546,0.0,849992.589764546,786187.8548004857
2024-07-19,854632.8704628082,0.0,854632.8704628082,787996.6668570848
2024-07-22,848422.0000921126,0.0,848422.0000921126,789538.8874843593
2024-07-23,834121.677312237,0.0,834121.677312237,775564.3416320372
2024-07-24,831969.8569524823,715121.6328918007,116848.22406068153,764773.9122625748
