period,underlying_code,window,n_obs,single_b,single_t,single_p,single_r2,control_b_dev,control_t_dev,control_p_dev,control_b_ret5d,control_t_ret5d,control_r2,placebo_b,placebo_t,placebo_p,placebo_r2
In-Sample (2022-2024),510050.SH,DTE <= 3,144,-0.11608381732187167,-1.956578494022136,0.050397045531091145,0.026251434351757252,-0.1936320640875534,-2.131062647553437,0.03308398141190083,0.07713298838796331,1.126084837185581,0.03493067282640716,0.09261744043533668,0.46411651578041435,0.6425642695340361,0.0053665259924381425
In-Sample (2022-2024),510300.SH,All DTE,721,-0.13246116784009845,-2.7204123141695984,0.006520056161648746,0.010188101055225274,-0.09401373349054062,-1.254317709567436,0.20972654948158542,-0.03862332160847201,-0.6749164730666098,0.01081565757492875,0.17753092688186323,1.0937356104701124,0.2740709513689046,0.010297054723976684
In-Sample (2022-2024),510300.SH,DTE <= 10,396,-0.05924186967996002,-1.1249103069596653,0.26062704391228064,0.003201451795261101,-0.02977358071799964,-0.41296598249473004,0.6796315371202517,-0.036188730784088616,-0.5990296104933382,0.004110768285464195,-0.04992035602908743,-0.3101915543430926,0.7564152926625627,0.00392247702792714
In-Sample (2022-2024),510300.SH,DTE <= 5,216,-0.0434281793140125,-0.7681832558699412,0.4423783197787343,0.002749919495047659,0.07493744774344314,0.9359736728333735,0.34928674296858153,-0.14568335699968096,-2.0722612116623553,0.022458021832555408,0.10947952044176329,0.6381813915337771,0.5233556090293194,0.020310749429488184
In-Sample (2022-2024),510300.SH,DTE <= 3,144,-0.08988486588677864,-1.6830390794240346,0.09236752646138235,0.019557890565337632,-0.056430380752196904,-0.7242667207158344,0.46890200385143843,-0.03870580846485347,-0.5909175825525546,0.02197993706216228,-0.212916685659547,-1.279142605627821,0.20084684259207752,0.029602193010357714
Out-of-Sample (2025-2026),510050.SH,All DTE,275,-0.3247384535324335,-4.272334986291117,1.934366905831375e-05,0.0626701042445923,-0.3088781164210143,-3.4221924324268493,0.0006211833282827595,-0.027080455600388298,-0.32717542973228236,0.06303883897751694,0.05840729621949601,0.3229516663840815,0.7467318468593249,0.023071058090737173
Out-of-Sample (2025-2026),510050.SH,DTE <= 10,154,-0.11867461676813451,-1.3561521408043655,0.17505076591577762,0.011955010446940695,-0.06834079806712007,-0.7015191312151196,0.48297909966247765,-0.09536402188119134,-1.1698767730841242,0.0208298691379063,0.18637169188137231,1.092907335192785,0.27443448735506326,0.025348353152242487
Out-of-Sample (2025-2026),510050.SH,DTE <= 5,84,-0.16280818284842594,-1.6101634246111594,0.10736218383921292,0.030648371717083456,-0.03745451939532479,-0.3187726391434729,0.7498989275187598,-0.18256188664851913,-1.9968267875727108,0.07612706860644458,0.21297070160742385,1.2387168850568013,0.21545036334906298,0.09216556989139923
Out-of-Sample (2025-2026),510050.SH,DTE <= 3,56,-0.18491967502648746,-2.055178380965556,0.03986177846220951,0.07254355111714583,-0.06586092392115403,-0.6029609270587569,0.5465346827012838,-0.15022917318344958,-1.8418303108387317,0.12833564354807703,-0.012419889383590366,-0.0751176535413378,0.9401211020128144,0.12244975274705006
Out-of-Sample (2025-2026),510300.SH,All DTE,275,-0.28015967261045527,-3.501871562611755,0.00046200227479054057,0.042988750560849276,-0.3269548380037052,-2.9106282428283006,0.003607029074731649,0.0618155416955362,0.5941709507077687,0.044229281634590056,-0.30159303379469515,-1.2590794175929512,0.20800164791233144,0.020171364894815746
Out-of-Sample (2025-2026),510300.SH,DTE <= 10,154,-0.10510569368814854,-1.3087616990550475,0.19061508462665344,0.011143226508716353,-0.05817201812150089,-0.5543278535398068,0.57935449136722,-0.0609308009196735,-0.6964630687452766,0.014309582723253,-0.4291095236765548,-1.9888776434555029,0.04671470998058269,0.03751718334850873
Out-of-Sample (2025-2026),510300.SH,DTE <= 5,84,-0.06517513349654888,-0.7252312046963987,0.4683102023230137,0.006373270887751303,0.12302038246478622,1.1181774602498615,0.2634912088438537,-0.22346977580493432,-2.764835353907398,0.09205947971964035,-0.40879458472430774,-1.979661087930189,0.04774162375245061,0.12059317627258981
Out-of-Sample (2025-2026),510300.SH,DTE <= 3,56,-0.2006172643236258,-2.592366797975835,0.009531808478163706,0.11067729166571327,0.03620801201101598,0.3655860739525476,0.7146739681880745,-0.25711048139102033,-3.4154320856777183,0.27110531177068264,-0.09185598242100487,-0.5124570171133624,0.6083311952854855,0.2728701058459283
