underlying_code,max_dte,threshold,trades,ls_cagr,ls_sharpe,ls_max_dd,lo_cagr,lo_sharpe,lo_max_dd,so_cagr,so_sharpe,so_max_dd,bm_cagr,bm_sharpe,bm_max_dd
510050.SH,10,0.01,194.0,-0.014079994163296194,-0.3298353675205448,-0.14404606615549076,-0.018291906176781114,-0.5032962929111807,-0.1743878269714182,0.004286140360035606,-0.24909971964265282,-0.08893115314716268,-0.005503640817892896,-0.04246775038716096,-0.3102913825170497
510050.SH,10,0.015,170.0,0.01094453817599228,-0.07461443578679337,-0.10621789461043687,-0.0072103780997508915,-0.3969817591325703,-0.1143302604789557,0.018286877034090043,-0.01487748191504438,-0.059804418334798645,-0.005503640817892896,-0.04246775038716096,-0.3102913825170497
510300.SH,3,0.0,131.0,0.01573095431040028,-0.04070609548267423,-0.07152520446711126,0.006367567837202159,-0.24325765420046022,-0.07911456572669251,0.009306644974319989,-0.29442400699724536,-0.0692790611370323,-0.006736669113947769,-0.03898243458970158,-0.3594320486815395
510300.SH,3,0.005,114.0,0.0100949214554098,-0.13716318103638664,-0.08885409597690272,0.001823356462420156,-0.3421443781207723,-0.0941929438716751,0.008257211958945243,-0.3386593643871882,-0.061941683925194065,-0.006736669113947769,-0.03898243458970158,-0.3594320486815395
510300.SH,3,0.01,82.0,0.004382742367203152,-0.3148302655759652,-0.0762788296699073,-0.008838448485721684,-0.771060370081876,-0.07110233592475744,0.013339087692340268,-0.22451545527202418,-0.03417626622133686,-0.006736669113947769,-0.03898243458970158,-0.3594320486815395
510300.SH,3,0.015,76.0,0.006623707721294281,-0.28983317814744475,-0.0649686669791345,-0.005953459390731108,-0.7150341192011583,-0.0576522117161763,0.012652493216582128,-0.29240149665022847,-0.03417626622133698,-0.006736669113947769,-0.03898243458970158,-0.3594320486815395
510300.SH,5,0.0,173.0,0.004688181345712916,-0.14889680457522717,-0.10640830341974297,-0.013944086243817155,-0.4817367167559626,-0.14835104165385435,0.018898303126543503,-0.0037590087439753443,-0.09596267735709295,-0.006736669113947769,-0.03898243458970158,-0.3594320486815395
510300.SH,5,0.005,144.0,-0.01632301762599453,-0.4476107365288995,-0.12510933979966143,-0.013188153297833627,-0.5046021048412634,-0.15709493526986315,-0.0031761471395317376,-0.5269971017020441,-0.1162222022711568,-0.006736669113947769,-0.03898243458970158,-0.3594320486815395
510300.SH,5,0.01,106.0,-0.011821128526283142,-0.5209523372674821,-0.1058530017066002,-0.020135879547752755,-0.891221091908477,-0.1401416399069604,0.00848670020410669,-0.28873771960698835,-0.07337977072601083,-0.006736669113947769,-0.03898243458970158,-0.3594320486815395
510300.SH,5,0.015,98.0,-0.007877169843388154,-0.49876440202481254,-0.10293161303489966,-0.01599656375760461,-0.8296467405189627,-0.11765659436600108,0.00825138776468326,-0.35300112496093683,-0.06417967968958604,-0.006736669113947769,-0.03898243458970158,-0.3594320486815395
510300.SH,10,0.0,255.0,0.0005046944671822651,-0.10608754626130892,-0.15010744250921282,-0.0344819455674803,-0.5881608480689263,-0.24893355436460685,0.03623928173159996,0.23595324040537408,-0.1312320222495208,-0.006736669113947769,-0.03898243458970158,-0.3594320486815395
510300.SH,10,0.005,240.0,0.000866303751360098,-0.12143070559630567,-0.18078446916721574,-0.02170891337688552,-0.4750199889020442,-0.22164916027456444,0.023074146157916697,0.07514314383210746,-0.13123202224952138,-0.006736669113947769,-0.03898243458970158,-0.3594320486815395
510300.SH,10,0.01,194.0,-0.0032777973553372863,-0.20410073056615416,-0.21435124409850836,-0.04550976256834771,-0.9941472332834418,-0.24040073515589,0.044244151869784254,0.3838777058874707,-0.10045655871664994,-0.006736669113947769,-0.03898243458970158,-0.3594320486815395
510300.SH,10,0.015,166.0,-0.023928779474535422,-0.49346699303174263,-0.26394235934564836,-0.04772494631632962,-1.0954202336296002,-0.2323486748372423,0.024988736258262145,0.1123142578086975,-0.08970336883013373,-0.006736669113947769,-0.03898243458970158,-0.3594320486815395
