ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
511010.SH,20220307,126.683,126.68,127.088,126.666,126.948,0.265,0.2092,5724.0,72622.672
511010.SH,20220304,126.743,126.695,126.779,126.632,126.683,-0.06,-0.0473,5456.0,69129.978
511010.SH,20220303,126.737,126.731,126.93,126.69,126.743,0.006,0.0047,4075.0,51670.87
511010.SH,20220302,126.794,126.797,126.797,126.692,126.737,-0.057,-0.045,4013.0,50854.002
511010.SH,20220301,127.013,127.013,127.014,126.784,126.794,-0.219,-0.1724,2712.0,34416.968
511010.SH,20220228,126.97,126.97,127.098,126.921,127.013,0.043,0.0339,3691.0,46876.875
511010.SH,20220225,126.893,126.924,126.989,126.659,126.97,0.077,0.0607,3836.0,48693.896
511010.SH,20220224,126.849,126.825,126.951,126.825,126.893,0.044,0.0347,4154.0,52712.379
511010.SH,20220223,126.716,126.716,126.85,126.706,126.849,0.133,0.105,4491.0,56938.473
511010.SH,20220222,126.785,126.733,126.806,126.659,126.716,-0.069,-0.0544,5317.0,67401.535
511010.SH,20220221,127.067,127.023,127.023,126.753,126.785,-0.282,-0.2219,4070.0,51653.698
511010.SH,20220218,127.145,127.09,127.194,127.025,127.067,-0.078,-0.0613,6181.0,78556.397
511010.SH,20220217,127.134,127.02,127.238,127.02,127.145,0.011,0.0087,4145.0,52707.908
511010.SH,20220216,127.037,127.033,127.152,126.991,127.134,0.097,0.0764,3898.0,49541.137
511010.SH,20220215,127.035,127.023,127.069,126.924,127.037,0.002,0.0016,4269.0,54212.899
511010.SH,20220214,127.146,127.125,127.18,127.034,127.035,-0.111,-0.0873,4158.0,52854.589
511010.SH,20220211,127.687,127.637,127.637,127.119,127.146,-0.541,-0.4237,5706.0,72651.6
511010.SH,20220210,127.571,127.558,127.697,127.521,127.687,0.116,0.0909,4585.0,58524.845
511010.SH,20220209,127.504,127.51,127.739,127.461,127.571,0.067,0.0525,4104.0,52382.799
511010.SH,20220208,127.353,127.36,127.554,127.353,127.504,0.151,0.1186,5116.0,65237.132
511010.SH,20220207,127.464,127.47,127.499,127.285,127.353,-0.111,-0.0871,6386.0,81315.97
511010.SH,20220128,127.206,127.215,127.469,127.206,127.464,0.258,0.2028,6357.0,80940.363
511010.SH,20220127,127.259,127.269,127.399,127.18,127.206,-0.053,-0.0416,5093.0,64798.638
511010.SH,20220126,127.842,127.793,127.842,127.187,127.259,-0.583,-0.456,7885.0,100562.375
511010.SH,20220125,127.875,127.6,127.998,127.6,127.842,-0.033,-0.0258,1948.11,24909.05
511010.SH,20220124,127.426,127.466,127.999,127.466,127.875,0.449,0.3524,2572.0,32871.876
511010.SH,20220121,127.116,127.118,127.434,127.118,127.426,0.31,0.2439,1980.0,25210.579
511010.SH,20220120,127.138,127.155,127.164,127.069,127.116,-0.022,-0.0173,2118.0,26919.787
511010.SH,20220119,127.198,127.239,127.372,127.107,127.138,-0.06,-0.0472,2956.0,37633.835
511010.SH,20220118,126.832,126.85,127.231,126.836,127.198,0.366,0.2886,2320.0,29459.727
511010.SH,20220117,126.869,126.752,127.014,126.752,126.832,-0.037,-0.0292,2276.0,28884.913
511010.SH,20220114,126.573,126.573,126.869,126.573,126.869,0.296,0.2339,1673.0,21200.441
511010.SH,20220113,126.588,126.58,126.599,126.454,126.573,-0.015,-0.0118,586.0,7416.025
511010.SH,20220112,126.54,126.555,126.588,126.466,126.588,0.048,0.0379,1044.0,13208.453
511010.SH,20220111,126.368,126.368,126.617,126.36,126.54,0.172,0.1361,1101.0,13925.87
511010.SH,20220110,126.224,126.224,126.368,126.22,126.368,0.144,0.1141,1695.0,21403.006
511010.SH,20220107,126.214,126.214,126.263,126.206,126.224,0.01,0.0079,1149.0,14504.427
511010.SH,20220106,126.283,126.283,126.283,126.163,126.214,-0.069,-0.0546,819.0,10337.522
511010.SH,20220105,126.418,126.418,126.418,126.259,126.283,-0.135,-0.1068,1186.0,14983.403
511010.SH,20220104,126.479,126.429,126.435,126.283,126.418,-0.061,-0.0482,666.0,8417.527
511010.SH,20211231,126.372,126.37,126.56,126.362,126.479,0.107,0.0847,1400.0,17707.152
