trade_date,nav_satellite_full
2021-04-22,1237273.5519502063
2021-04-23,1241270.2381859368
2021-04-26,1240896.7232281023
2021-04-27,1239074.285809973
2021-04-28,1241181.7896773734
2021-04-29,1242469.9046589637
2021-04-30,1240747.6581317945
2021-05-06,1240247.7053667977
2021-05-07,1237734.2751143056
2021-05-10,1239573.5383390156
2021-05-11,1238947.033176937
2021-05-12,1241920.4775106928
2021-05-13,1237208.6744472678
2021-05-14,1242355.3392595549
2021-05-17,1246590.3245028416
2021-05-18,1248378.3871000821
2021-05-19,1246941.8458063211
2021-05-20,1245602.2739691662
2021-05-21,1246534.0630815802
2021-05-24,1248356.3591643686
2021-05-25,1253172.5053933752
2021-05-26,1254932.420060822
2021-05-27,1255993.699231914
2021-05-28,1255370.9217734733
2021-05-31,1257767.5165374563
2021-06-01,1259522.2761087508
2021-06-02,1254973.937613795
2021-06-03,1253666.7531542245
2021-06-04,1253412.1285721338
2021-06-07,1253399.3320184306
2021-06-08,1252150.025991288
2021-06-09,1252336.5513474492
2021-06-10,1255120.956133931
2021-06-11,1253691.8895031393
2021-06-15,1249489.9941374955
2021-06-16,1244409.7442740132
2021-06-17,1244856.0484190304
2021-06-18,1247810.9555946984
2021-06-21,1251185.9461833083
2021-06-22,1254270.1810829858
2021-06-23,1258020.2238599781
2021-06-24,1256574.4264925667
2021-06-25,1260895.1637406743
2021-06-28,1261614.2893021412
2021-06-29,1259469.2606524448
2021-06-30,1263087.044250071
2021-07-01,1261636.4542872687
2021-07-02,1255607.522572465
2021-07-05,1257215.7301770605
2021-07-06,1257728.1153526758
2021-07-07,1262438.1779527315
2021-07-08,1261647.092162369
2021-07-09,1263388.1486437127
2021-07-12,1266840.1629463146
2021-07-13,1270591.71348014
2021-07-14,1268227.9980870371
2021-07-15,1266038.2103413409
2021-07-16,1264059.9342611083
2021-07-19,1262307.6766583172
2021-07-20,1262882.8795464814
2021-07-21,1267271.6342528185
2021-07-22,1269739.4353588175
2021-07-23,1266548.4740525165
2021-07-26,1260715.2019390704
2021-07-27,1252247.018091193
2021-07-28,1249070.289822292
2021-07-29,1255960.2359558858
2021-07-30,1255570.5492525634
2021-08-02,1262914.3313671928
2021-08-03,1260520.9867182155
2021-08-04,1266015.5346194352
2021-08-05,1265075.1372639746
2021-08-06,1265841.0842177295
2021-08-09,1263978.3872552372
2021-08-10,1264961.0723573891
2021-08-11,1265203.068214511
2021-08-12,1268203.8311784088
2021-08-13,1268575.3030464216
2021-08-16,1267737.193641036
2021-08-17,1262750.6677910017
2021-08-18,1264838.322740088
2021-08-19,1263576.0196171638
2021-08-20,1262987.7027921397
2021-08-23,1269856.9615116247
2021-08-24,1272849.7641579702
2021-08-25,1274342.0523590136
2021-08-26,1271931.6285404034
2021-08-27,1273896.1738142415
2021-08-30,1276725.8001114754
2021-08-31,1280831.0836196935
2021-09-01,1280420.918455894
2021-09-02,1284194.7031954322
2021-09-03,1283050.8039779041
2021-09-06,1288370.896274796
2021-09-07,1292996.8175893358
2021-09-08,1292776.6964237627
2021-09-09,1294453.865958278
2021-09-10,1293046.7991527172
2021-09-13,1294895.138702634
2021-09-14,1289771.28418335
2021-09-15,1289112.2589483038
2021-09-16,1281928.6837589424
2021-09-17,1281440.9182657728
2021-09-22,1282070.0540458993
2021-09-23,1285059.6794457517
2021-09-24,1280024.5997893284
2021-09-27,1273402.321838288
2021-09-28,1274556.7899123214
2021-09-29,1266204.5259702795
2021-09-30,1272116.7812797085
2021-10-08,1271293.7007625462
2021-10-11,1268541.9761744626
2021-10-12,1261557.6763948698
2021-10-13,1262404.866531
2021-10-14,1265004.6635146034
2021-10-15,1268563.0968962286
2021-10-18,1267986.3967234776
2021-10-19,1270879.7354857426
2021-10-20,1269821.1774960994
2021-10-21,1271318.0710023935
2021-10-22,1268816.332603938
2021-10-25,1270784.9041285855
2021-10-26,1272259.626823043
2021-10-27,1269267.6926625082
2021-10-28,1266015.6925486424
2021-10-29,1269823.9531585204
2021-11-01,1273572.308530587
2021-11-02,1272074.8334798326
2021-11-03,1273536.2922383836
2021-11-04,1277458.203069152
2021-11-05,1276926.518064306
2021-11-08,1279381.932345589
2021-11-09,1280766.41561937
2021-11-10,1280655.2642868108
2021-11-11,1285512.8984239572
2021-11-12,1286369.6407629761
2021-11-15,1286812.1715105036
2021-11-16,1285733.0333309248
2021-11-17,1288631.1606878352
2021-11-18,1289205.9086395307
2021-11-19,1292776.5489408032
2021-11-22,1296221.6542766532
2021-11-23,1292880.1362768295
2021-11-24,1293565.0324692954
2021-11-25,1293418.0584201494
2021-11-26,1293404.0934306353
2021-11-29,1292588.4805342455
2021-11-30,1293454.4278167472
2021-12-01,1293485.2213189146
2021-12-02,1290408.264177138
2021-12-03,1291934.7571862277
2021-12-06,1289381.3809540074
2021-12-07,1287629.2821923564
2021-12-08,1293252.5327214717
2021-12-09,1294773.0912317245
2021-12-10,1294141.8185200668
2021-12-13,1298322.2086464362
2021-12-14,1297116.973233908
2021-12-15,1295012.8613782113
2021-12-16,1299664.2304944724
2021-12-17,1295655.8109505798
2021-12-20,1289324.359694998
2021-12-21,1293145.8922316246
2021-12-22,1296630.1352467756
2021-12-23,1300678.681678314
2021-12-24,1296222.4334994098
2021-12-27,1296172.5743045355
2021-12-28,1299464.1239554791
2021-12-29,1296268.7867456248
2021-12-30,1301199.7163680033
2021-12-31,1304161.9557172733
2022-01-04,1304011.2768107653
2022-01-05,1297427.5963152193
2022-01-06,1295132.4472666476
2022-01-07,1293803.7892284472
2022-01-10,1295675.384462967
2022-01-11,1293744.1652918966
2022-01-12,1298879.9533297645
2022-01-14,1296150.2029269354
2022-01-17,1299707.4901477539
2022-01-18,1302318.2738736663
2022-01-19,1300175.3555509497
2022-01-20,1301217.4808259448
2022-01-21,1297983.3091738592
2022-01-24,1300657.944815783
2022-01-25,1289491.2661770314
2022-01-26,1288530.6002234458
2022-01-27,1277719.5113169323
2022-01-28,1278127.862883898
2022-02-07,1285109.5805926747
2022-02-08,1288541.1384198319
2022-02-09,1293702.4115922682
