trade_date,nav_replace_full
2021-05-14,1242322.1355966143
2021-05-17,1245015.2023588268
2021-05-18,1247171.707843898
2021-05-19,1245965.3851772822
2021-05-20,1245569.193585479
2021-05-21,1247846.9043426383
2021-05-24,1248769.4283997144
2021-05-25,1249531.4144103415
2021-05-26,1252071.6694057402
2021-05-27,1251111.7518310114
2021-05-28,1249773.6949052066
2021-05-31,1250297.8676422536
2021-06-01,1252670.652028305
2021-06-02,1248487.1180749044
2021-06-03,1248012.0681937735
2021-06-04,1246462.9429845102
2021-06-07,1247617.8850036438
2021-06-08,1247926.668467534
2021-06-09,1247871.0757455474
2021-06-10,1248448.7087192948
2021-06-11,1248566.9772242387
2021-06-15,1245808.604917837
2021-06-16,1244883.3689479018
2021-06-17,1242766.6422653703
2021-06-18,1245084.1121771014
2021-06-21,1248296.1285315356
2021-06-22,1250722.392649082
2021-06-23,1253201.6588226536
2021-06-24,1252332.3484829161
2021-06-25,1254234.040635019
2021-06-28,1255820.4925609827
2021-06-29,1255581.1722043233
2021-06-30,1256720.027759825
2021-07-01,1256591.371227792
2021-07-02,1255546.5709918777
2021-07-05,1257067.8796298523
2021-07-06,1258902.18798486
2021-07-07,1262006.0020294015
2021-07-08,1263515.2820222054
2021-07-09,1264680.4252288658
2021-07-12,1265751.4915526845
2021-07-13,1269398.383229966
2021-07-14,1268823.4518617662
2021-07-15,1264078.4655439437
2021-07-16,1263531.748433455
2021-07-19,1260828.6783025195
2021-07-20,1262076.8998301157
2021-07-21,1265128.2937268142
2021-07-22,1266154.9466602441
2021-07-23,1266396.3391589504
2021-07-26,1267903.3863835637
2021-07-27,1264773.9462563908
2021-07-28,1262605.5585920368
2021-07-29,1265452.000135231
2021-07-30,1265583.2456393903
2021-08-02,1270346.008391147
2021-08-03,1269043.875845266
2021-08-04,1271958.4224039237
2021-08-05,1271820.8333492556
2021-08-06,1272410.7963248235
2021-08-09,1267335.314752279
2021-08-10,1266924.7122759698
2021-08-11,1265863.2761380652
2021-08-12,1269872.8040466453
2021-08-13,1271359.0663789674
2021-08-16,1271677.0945116892
2021-08-17,1271851.4441596067
2021-08-18,1272467.950846371
2021-08-19,1271618.748390793
2021-08-20,1273248.8620188842
2021-08-23,1277085.186811626
2021-08-24,1278842.5859064048
2021-08-25,1278760.0489870403
2021-08-26,1277799.0078440418
2021-08-27,1279154.343008371
2021-08-30,1281636.5648041056
2021-08-31,1284419.439540175
2021-09-01,1284598.296870877
2021-09-02,1286270.9340273817
2021-09-03,1286458.4994793104
2021-09-06,1288537.9712146723
2021-09-07,1289660.3790600568
2021-09-08,1287875.8575947294
2021-09-09,1286548.1293025897
2021-09-10,1285256.2483503022
2021-09-13,1284998.4353800705
2021-09-14,1281701.7179772793
2021-09-15,1281913.2988784253
2021-09-16,1276789.5544739573
2021-09-17,1276438.1212576325
2021-09-22,1275982.9760428558
2021-09-23,1277878.9627150497
2021-09-24,1275221.379590008
2021-09-27,1271308.199517829
2021-09-28,1270206.2916766454
2021-09-29,1265563.5333311479
2021-09-30,1268855.1768360552
2021-10-08,1268956.7670580042
2021-10-11,1265694.9488236024
2021-10-12,1261408.566686255
2021-10-13,1261517.0623422766
2021-10-14,1265755.3469567564
2021-10-15,1267993.756066217
2021-10-18,1265131.5691924423
2021-10-19,1267349.8075546771
2021-10-20,1267480.6816172302
2021-10-21,1268878.7114656668
2021-10-22,1268144.0032162955
2021-10-25,1268153.7506661715
2021-10-26,1270834.702530704
2021-10-27,1269589.8379034917
2021-10-28,1270128.9838508053
2021-10-29,1271973.436325645
2021-11-01,1275326.0379394093
2021-11-02,1276042.3177038804
2021-11-03,1276627.0506353593
2021-11-04,1279082.2609231023
2021-11-05,1281413.201410098
2021-11-08,1283708.0013534317
2021-11-09,1284350.2948037176
2021-11-10,1284945.3057959988
2021-11-11,1288577.4021694418
2021-11-12,1289500.661644212
2021-11-15,1291296.9486129296
2021-11-16,1290990.13597559
2021-11-17,1293238.852322805
2021-11-18,1295299.709620106
2021-11-19,1297232.4581969003
2021-11-22,1298539.0138848303
2021-11-23,1294505.395026512
2021-11-24,1295240.9122388682
2021-11-25,1295648.6587974685
2021-11-26,1296586.4953007165
2021-11-29,1295391.7439947764
2021-11-30,1296294.8129639816
2021-12-01,1295755.0565358892
2021-12-02,1292380.5344333628
2021-12-03,1291995.5677676096
2021-12-06,1291847.7721586952
2021-12-07,1290131.7324980414
2021-12-08,1293482.8956310337
2021-12-09,1293005.4095255777
2021-12-10,1292601.4372809362
2021-12-13,1296215.4453094609
2021-12-14,1296570.6108001
2021-12-15,1294638.9189011855
2021-12-16,1297819.4646365603
2021-12-17,1297548.2464290843
2021-12-20,1295392.6443756877
2021-12-21,1296620.528167458
2021-12-22,1300021.0771851283
2021-12-23,1304222.2843072368
2021-12-24,1302343.0758172835
2021-12-27,1302129.7817655774
2021-12-28,1305399.519981293
2021-12-29,1304055.9156897156
2021-12-30,1307097.683693721
2021-12-31,1309883.7100955285
2022-01-04,1310238.0239343424
2022-01-05,1306728.5373723484
2022-01-06,1304486.6897654694
2022-01-07,1303220.7176781688
2022-01-10,1304656.3864445125
2022-01-11,1304642.7161884394
2022-01-12,1308892.4839691354
2022-01-14,1307124.1367022865
2022-01-17,1308568.6981689942
2022-01-18,1310344.6802977398
2022-01-19,1308647.9212374839
2022-01-20,1311357.8803308415
2022-01-21,1310110.5656230352
2022-01-24,1312642.1442723328
2022-01-25,1307021.6146669816
2022-01-26,1303632.9146480681
2022-01-27,1295834.7630095263
2022-01-28,1298760.3722141993
2022-02-07,1303644.8978414314
2022-02-08,1305885.4818674729
2022-02-09,1309669.1657320699
2022-02-10,1311295.4277176822
2022-02-11,1301864.0283975368
2022-02-14,1297251.1830673236
2022-02-15,1296648.1658636888
2022-02-16,1297502.1554501974
2022-02-17,1301994.7426367828
2022-02-18,1302599.6796346512
2022-02-21,1301259.763727843
2022-02-22,1298470.258222317
2022-02-23,1301771.8080948172
2022-02-24,1298255.7340865484
2022-02-25,1300299.3192067102
2022-02-28,1299046.9862607734
2022-03-01,1300494.2859888426
2022-03-02,1301009.6865137415
2022-03-03,1299119.2026676268
2022-03-04,1297099.8520749942
2022-03-07,1297590.12792473
2022-03-08,1294568.3305306179
2022-03-09,1295655.7590417806
2022-03-10,1297402.0824648722
2022-03-11,1298839.0944614108
2022-03-14,1296613.9128039405
2022-03-15,1284459.8058688135
2022-03-16,1289533.2909368232
2022-03-17,1294483.6313835946
2022-03-18,1297843.8338539095
2022-03-21,1300906.532489335
2022-03-22,1302763.9408652594
2022-03-23,1301491.5719720272
2022-03-24,1301264.1357383982
2022-03-25,1301347.8518071119
2022-03-28,1299210.4479168444
2022-03-29,1298030.554955759
2022-03-30,1301270.347028163
2022-03-31,1298667.0703601558
2022-04-01,1300607.856521957
2022-04-06,1300646.3586173963
2022-04-07,1297394.1538909054
2022-04-08,1298224.3723569575
2022-04-11,1292320.3899459254
2022-04-12,1293269.8270880866
2022-04-13,1291883.6854476924
2022-04-14,1295802.805735751
2022-04-15,1294253.9592353022
2022-04-18,1293991.7623982576
2022-04-19,1294902.308913629
2022-04-20,1293892.2422924917
2022-04-21,1292497.2353101326
2022-04-22,1292966.784346926
2022-04-25,1281144.4190123728
2022-04-26,1281390.0892466928
2022-04-27,1281683.8468986321
2022-04-28,1281652.5158759858
2022-04-29,1287757.6019306735
2022-05-05,1288768.1532581241
2022-05-06,1284800.8194722962
2022-05-09,1286064.31440086
