trade_date,nav_baseline
2020-04-02,1126263.3505735167
2020-04-03,1123950.0993685015
2020-04-07,1138879.3604732552
2020-04-08,1138913.9114557174
2020-04-09,1141964.827238991
2020-04-10,1136239.9054109703
2020-04-13,1133518.3619226017
2020-04-14,1141606.2342434577
2020-04-15,1142938.0578879928
2020-04-16,1145632.287302811
2020-04-17,1147383.8005273822
2020-04-20,1149391.2555863573
2020-04-21,1147280.89576222
2020-04-22,1151782.1336634604
2020-04-23,1154124.5484786471
2020-04-24,1151386.0574511061
2020-04-27,1154287.4402637312
2020-04-28,1155475.989045805
2020-04-29,1160460.795688144
2020-04-30,1166733.1046868004
2020-05-06,1168600.7787567154
2020-05-07,1164086.3793405704
2020-05-08,1167489.102097224
2020-05-11,1164251.6929099269
2020-05-12,1163625.8913078047
2020-05-13,1164354.3195330258
2020-05-14,1160403.4790280084
2020-05-15,1162355.288705494
2020-05-18,1161379.441596568
2020-05-19,1162996.4870002724
2020-05-20,1157791.8624035125
2020-05-21,1154737.6773920883
2020-05-22,1147979.8081840358
2020-05-25,1146905.5330456968
2020-05-26,1150992.4605136188
2020-05-27,1146522.5782886697
2020-05-28,1148301.9118235959
2020-05-29,1150139.8520860707
2020-06-01,1160771.8221838179
2020-06-02,1158807.4501632259
2020-06-03,1156415.8325396045
2020-06-04,1155343.8196951626
2020-06-05,1155157.2173193023
2020-06-08,1156309.2139954919
2020-06-09,1159015.3774688635
2020-06-10,1158100.6484263656
2020-06-11,1156239.3263356532
2020-06-12,1156999.750837935
2020-06-15,1154661.5260840715
2020-06-16,1160560.1666509805
2020-06-17,1159935.551829586
2020-06-18,1160118.1804824616
2020-06-19,1164199.060245263
2020-06-22,1165323.0928750604
2020-06-23,1164704.4096983802
2020-06-24,1168068.0495933383
2020-06-29,1164612.2332508594
2020-06-30,1171246.8115493269
2020-07-01,1179091.3362957258
2020-07-02,1188955.1658811828
2020-07-03,1197987.751756603
2020-07-06,1222051.4146794076
2020-07-07,1224881.378913826
2020-07-08,1232875.8630937636
2020-07-09,1244495.2108578081
2020-07-10,1238093.6839317875
2020-07-13,1253171.1129202123
2020-07-14,1248369.2116748719
2020-07-15,1240383.2403930982
2020-07-16,1218938.5507718076
2020-07-17,1219694.6494354708
2020-07-20,1232382.4077471178
2020-07-21,1239301.9110519262
2020-07-22,1246930.9146181066
2020-07-23,1249164.8485030385
2020-07-24,1228656.323629621
2020-07-27,1232554.3256946811
2020-07-28,1235930.439389327
2020-07-29,1245673.1382952284
2020-07-30,1242666.306393237
2020-07-31,1249524.660720112
2020-08-03,1258067.6961080716
2020-08-04,1258655.7851182413
2020-08-05,1265104.6912861343
2020-08-06,1264149.1691242475
2020-08-07,1261264.7886084476
2020-08-10,1261265.9511399537
2020-08-11,1252819.0433041712
2020-08-12,1237416.1986965681
2020-08-13,1243249.1900814162
2020-08-14,1248812.8174521646
2020-08-17,1258859.4089115832
2020-08-18,1263147.347853461
2020-08-19,1256190.5703940438
2020-08-20,1247434.1890794141
2020-08-21,1253235.6210206442
2020-08-24,1257383.3552245197
2020-08-25,1260756.616968674
2020-08-26,1251368.2071538866
2020-08-27,1258389.1756083348
2020-08-28,1267569.1690498407
2020-08-31,1272372.8171420945
2020-09-01,1276135.605850054
2020-09-02,1278332.018694601
2020-09-03,1275457.7846452119
2020-09-04,1264737.236188464
2020-09-07,1248949.3884528852
2020-09-08,1254970.2562291333
2020-09-09,1242060.425279471
2020-09-10,1242225.944713212
2020-09-11,1244359.9785952882
2020-09-14,1246946.9863211063
2020-09-15,1251655.8116289454
2020-09-16,1249528.3981276173
2020-09-17,1246121.7563337947
2020-09-18,1254941.149076878
2020-09-21,1251510.2757637117
2020-09-22,1245235.940137288
2020-09-23,1245763.7365968989
2020-09-24,1234753.533015361
2020-09-25,1234239.1454168698
2020-09-28,1233252.0858247182
2020-09-29,1237022.891536273
2020-09-30,1236555.8862763888
2020-10-09,1244805.686156492
2020-10-12,1256361.7996199054
2020-10-13,1256780.3065909734
2020-10-14,1253834.1897045516
2020-10-15,1250472.1012638123
2020-10-16,1251575.790187199
2020-10-19,1250408.9862516636
2020-10-20,1252987.2462957262
2020-10-21,1252378.8262085817
2020-10-22,1251758.616129234
2020-10-23,1244934.3683943467
2020-10-26,1243014.9128310715
2020-10-27,1244270.3035331508
2020-10-28,1244481.8280453265
2020-10-29,1245086.500219409
