ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
H30269.CSI,20190517,8103.5014,8307.7192,8309.2217,8085.8033,8307.6126,-204.1112,-2.4569,19033682.8,15129607.579
H30269.CSI,20190516,8307.6126,8253.4251,8309.5378,8234.251,8265.4386,42.174,0.5102,18356980.93,14730881.578
H30269.CSI,20190515,8265.4386,8179.3832,8283.9833,8175.7816,8141.1222,124.3164,1.527,19639994.36,16357888.975
H30269.CSI,20190514,8141.1222,8119.6438,8200.5429,8102.3846,8194.3651,-53.2429,-0.6498,17913661.51,15688447.293
H30269.CSI,20190513,8194.3651,8172.9347,8222.1841,8139.7836,8269.9915,-75.6264,-0.9145,17836094.94,14293952.628
H30269.CSI,20190510,8269.9915,8096.4321,8271.1619,7995.114,8035.5771,234.4144,2.9172,23693576.34,20453195.718
H30269.CSI,20190509,8035.5771,8102.6329,8157.6455,8028.2076,8150.8077,-115.2306,-1.4137,19804863.16,17400984.948
H30269.CSI,20190508,8150.8077,8100.7423,8249.0031,8085.8375,8221.7796,-70.9719,-0.8632,20241180.15,17076236.332
H30269.CSI,20190507,8221.7796,8177.3249,8251.7646,8135.8468,8146.0669,75.7127,0.9294,22631795.88,20102771.134
H30269.CSI,20190506,8146.0669,8359.1595,8359.1595,8057.6967,8566.2051,-420.1382,-4.9046,40550755.67,34295845.941
H30269.CSI,20190430,8566.2051,8472.1256,8576.4911,8472.1256,8483.6888,82.5163,0.9726,21975834.77,21492175.205
H30269.CSI,20190429,8483.6888,8503.7691,8579.847,8457.9551,8479.3242,4.3646,0.0515,25081444.4,22156717.81
H30269.CSI,20190426,8479.3242,8559.2769,8584.2631,8471.2709,8581.9868,-102.6626,-1.1963,22520921.14,19958678.249
H30269.CSI,20190425,8581.9868,8797.689,8797.689,8578.4863,8815.4056,-233.4188,-2.6479,24295258.87,21303043.867
H30269.CSI,20190424,8815.4056,8828.5301,8836.8394,8700.8204,8804.1773,11.2283,0.1275,23731810.27,20604232.755
H30269.CSI,20190423,8804.1773,8868.5426,8887.5518,8782.9943,8872.2831,-68.1058,-0.7676,24460737.14,22559978.505
H30269.CSI,20190422,8872.2831,9082.5715,9089.5291,8855.6092,9089.178,-216.8949,-2.3863,32530914.41,32093913.353
H30269.CSI,20190419,9089.178,9038.2322,9106.3128,8982.6092,9048.7188,40.4592,0.4471,22587106.66,21268242.879
H30269.CSI,20190418,9048.7188,9129.5478,9129.5478,9038.7004,9137.3528,-88.634,-0.97,23963498.35,22293381.633
H30269.CSI,20190417,9137.3528,9094.4816,9175.4238,9055.5092,9106.5827,30.7701,0.3379,35469838.71,33324588.494
H30269.CSI,20190416,9106.5827,8927.3285,9106.5827,8836.1782,8965.5528,141.0299,1.573,48874369.82,42058440.617
H30269.CSI,20190415,8965.5528,9135.2702,9177.7376,8961.5302,9013.5,-47.9472,-0.5319,40701396.61,36398575.087
H30269.CSI,20190412,9013.5,9041.3173,9069.6355,8958.0086,9033.5669,-20.0669,-0.2221,22496570.51,21078628.764
H30269.CSI,20190411,9033.5669,9144.6618,9189.9413,9013.985,9151.9881,-118.4212,-1.2939,28735041.97,27684424.538
H30269.CSI,20190410,9151.9881,9080.4555,9224.8764,9051.1019,9135.0654,16.9227,0.1852,30961243.89,31522181.267
H30269.CSI,20190409,9135.0654,9101.9127,9168.5104,9063.8088,9095.1435,39.9219,0.4389,32964950.48,32577911.98
H30269.CSI,20190408,9095.1435,9151.2029,9200.648,8993.3616,9126.1557,-31.0122,-0.3398,47529696.07,42137702.041
H30269.CSI,20190404,9126.1557,9048.7988,9140.9414,9032.067,9015.9703,110.1854,1.2221,45283647.73,40170776.989
H30269.CSI,20190403,9015.9703,8859.722,9023.1459,8841.4178,8907.7641,108.2062,1.2147,41131003.66,35000917.437
H30269.CSI,20190402,8907.7641,8979.2262,8981.7422,8881.9782,8922.8753,-15.1112,-0.1694,37393999.18,32980355.345
H30269.CSI,20190401,8922.8753,8742.7823,8939.6148,8741.5764,8700.7146,222.1607,2.5534,47549844.67,42904120.416
H30269.CSI,20190329,8700.7146,8468.1617,8711.4498,8449.0897,8484.2176,216.497,2.5518,37668481.92,34836751.585
H30269.CSI,20190328,8484.2176,8569.4553,8569.6962,8477.0251,8580.5974,-96.3798,-1.1232,25107088.1,21588277.485
H30269.CSI,20190327,8580.5974,8496.6489,8581.0465,8421.6906,8471.8516,108.7458,1.2836,28605406.15,23396989.594
H30269.CSI,20190326,8471.8516,8629.5035,8648.4095,8449.7194,8589.6329,-117.7813,-1.3712,32789170.78,24758760.52
H30269.CSI,20190325,8589.6329,8608.4345,8692.084,8580.1324,8687.5262,-97.8933,-1.1268,42981150.21,31751674.724
H30269.CSI,20190322,8687.5262,8647.1293,8696.1279,8567.7713,8640.4122,47.114,0.5453,29137339.1,23142153.137
H30269.CSI,20190321,8640.4122,8639.4216,8691.3379,8618.106,8636.2344,4.1778,0.0484,28595937.45,24844188.999
H30269.CSI,20190320,8636.2344,8583.099,8642.0064,8513.9525,8601.7293,34.5051,0.4011,27617464.94,23726151.85
H30269.CSI,20190319,8601.7293,8624.0313,8689.0877,8555.6463,8614.053,-12.3237,-0.1431,28860923.4,26051851.161
H30269.CSI,20190318,8614.053,8399.1668,8614.053,8369.5267,8368.7379,245.3151,2.9313,39021280.19,34562267.11
H30269.CSI,20190315,8368.7379,8255.9284,8422.3257,8255.9284,8235.8632,132.8747,1.6134,29304858.39,25852974.326
H30269.CSI,20190314,8235.8632,8311.4896,8381.7204,8182.5339,8326.5544,-90.6912,-1.0892,27934008.33,23756208.288
H30269.CSI,20190313,8326.5544,8340.7593,8403.2587,8283.6475,8350.4409,-23.8865,-0.2861,35710352.63,30551545.066
H30269.CSI,20190312,8350.4409,8317.2271,8422.1726,8275.2055,8276.0838,74.3571,0.8985,38016880.96,31155004.119
H30269.CSI,20190311,8276.0838,8134.3652,8279.2668,8124.1743,8141.3728,134.711,1.6546,35376773.38,28424766.193
H30269.CSI,20190308,8141.3728,8366.8016,8379.8907,8136.2027,8459.8061,-318.4333,-3.7641,46458905.1,36275317.461
