trade_date,Strategy_Pure,Strategy_Hedged,Benchmark_EqualWeight,Benchmark_CSI1000
2024-12-03,1271618.280973959,1077064.7612456798,1369824.9591132514,1390679.5675248725
2024-12-04,1258609.9831484722,1066046.6912782614,1352761.1921853928,1368984.989569808
2024-12-05,1284688.4334030002,1062848.551204427,1367685.1652154652,1386779.9665307226
2024-12-06,1308592.6349158653,1062848.551204427,1384595.7468762882,1400904.5750538055
2024-12-09,1306170.1323621825,1062848.551204427,1383934.060149903,1390678.685012625
2024-12-10,1318463.7032399117,1062848.551204427,1390999.0732491834,1403640.1423933508
2024-12-11,1341984.283562672,1062848.551204427,1413457.8927728878,1422471.6299890897
2024-12-12,1355795.3126887009,1062848.551204427,1432308.597147139,1431908.3334528396
2024-12-13,1333119.5838565587,1062848.551204427,1408182.9350318306,1402088.6858620432
2024-12-16,1333933.6898124067,1062848.551204427,1403746.2668548555,1384996.18865023
2024-12-17,1288821.0437630767,1062848.551204427,1358517.9406506578,1355526.4571656128
2024-12-18,1294427.3204158794,1062848.551204427,1363549.0430738444,1366982.348651907
2024-12-19,1285645.823039009,1062848.551204427,1360017.5484088557,1369479.4170565342
2024-12-20,1291204.7871913905,1062848.551204427,1368023.0149526007,1383724.7091294783
2024-12-23,1247973.2367558044,1062848.551204427,1318352.8242603713,1345032.7246572815
2024-12-24,1253457.6720372438,1062848.551204427,1330071.8415322516,1360031.0203055032
2024-12-25,1236271.8005044644,1062848.551204427,1307034.2355642007,1344658.9807204164
2024-12-26,1245929.514005573,1062848.551204427,1319036.1344943156,1359168.5852115212
2024-12-27,1252702.4957939074,1062848.551204427,1332699.8627023082,1361620.424863458
2024-12-30,1243566.805475336,1062848.551204427,1320705.933107097,1355964.18324043
2024-12-31,1223781.1753644708,1062848.551204427,1293907.9632097587,1314439.55508145
2025-01-02,1206448.050541932,1062848.551204427,1273331.5957399763,1279000.510753963
2025-01-03,1141684.7795789922,1062848.551204427,1231117.5489859805,1241078.959473934
